Õhutemperatuur (°C),Suhteline õhuniiskus (%),Õhurõhk merepinnal (hPa),Õhurõhu muutus (hPa),Tuul suund (°),Tuul kiirus (m/s),Tuul max kiirus (m/s),Pilvisus (palli),Hetkeilm (sensor),Hetkeilm (vaatleja),Sademed (mm),Nähtavus (km),date,hour
-1.0,98.0,1001.5,1.2,29.0,1.3,2.2,,nõrk hooglumi,,0.1,6.7,01.01.2022,0
-0.6,99.0,1001.8,1.6,331.0,0.9,3.1,,nõrk hooglumi,,0.1,0.38,01.01.2022,1
0.0,99.0,1001.6,0.1,85.0,1.4,2.0,,nõrk lumi,,0.3,0.33,01.01.2022,2
-0.1,100.0,1002.0,0.5,45.0,1.0,2.5,,nõrk lumi,,0.4,0.44,01.01.2022,3
-0.1,100.0,1002.4,0.6,32.0,1.5,2.7,,nõrk lumi,,0.5,0.84,01.01.2022,4
-0.3,100.0,1003.0,1.4,29.0,1.9,3.3,,nõrk lumi,,0.3,11.5,01.01.2022,5
-0.4,99.0,1004.1,2.1,17.0,1.3,3.2,,nõrk lumi,,0.2,6.1,01.01.2022,6
-0.4,98.0,1005.3,2.9,11.0,2.9,5.8,,nõrk lumi,,0.2,13.0,01.01.2022,7
-1.3,93.0,1006.7,3.7,14.0,4.3,7.7,10.0,nõrk hooglumi,nähtusteta,0.0,34.6,01.01.2022,8
-2.8,88.0,1008.6,4.5,25.0,4.9,10.2,,lumi,,0.0,35.0,01.01.2022,9
-2.9,83.0,1010.1,4.8,18.0,3.4,8.5,,nähtusteta,,0.0,35.0,01.01.2022,10
-2.8,81.0,1011.7,5.0,359.0,3.6,8.4,,nähtusteta,,0.0,35.0,01.01.2022,11
-2.9,72.0,1012.9,4.3,3.0,3.2,9.6,,nähtusteta,,0.0,35.0,01.01.2022,12
-2.9,71.0,1014.2,4.1,348.0,2.7,7.5,,nähtusteta,,0.0,35.0,01.01.2022,13
-3.1,70.0,1015.1,3.4,349.0,2.7,6.7,,nähtusteta,,0.0,35.0,01.01.2022,14
-3.7,74.0,1016.5,3.6,342.0,3.0,6.5,,nähtusteta,,0.0,35.0,01.01.2022,15
-4.0,76.0,1017.5,3.3,332.0,2.7,6.5,,nähtusteta,,0.0,35.0,01.01.2022,16
-3.7,76.0,1018.2,3.1,341.0,3.1,7.3,,nähtusteta,,0.0,35.0,01.01.2022,17
-3.7,77.0,1018.9,2.4,331.0,2.2,7.8,,nähtusteta,,0.0,35.0,01.01.2022,18
-3.8,76.0,1019.3,1.8,349.0,2.9,6.9,,nähtusteta,,0.0,35.0,01.01.2022,19
-4.5,79.0,1020.2,2.0,337.0,2.0,5.5,1.0,nähtusteta,nähtusteta,0.0,35.0,01.01.2022,20
-5.0,83.0,1020.5,1.6,7.0,1.2,4.5,,nähtusteta,,0.0,35.0,01.01.2022,21
-9.1,94.0,1021.0,1.7,216.0,0.6,2.7,,nähtusteta,,0.0,35.0,01.01.2022,22
-7.9,93.0,1021.5,1.3,258.0,1.8,2.6,,nähtusteta,,0.0,35.0,01.01.2022,23
-10.5,92.0,1021.0,0.5,240.0,1.4,2.5,,nähtusteta,,0.0,35.0,02.01.2022,0
-11.7,91.0,1020.6,-0.4,227.0,1.6,2.3,,nähtusteta,,0.0,35.0,02.01.2022,1
-9.9,90.0,1020.1,-1.4,196.0,1.1,2.0,,nähtusteta,,0.0,35.0,02.01.2022,2
-9.2,91.0,1019.7,-1.3,223.0,1.4,2.2,,nähtusteta,,0.0,35.0,02.01.2022,3
-7.2,89.0,1019.0,-1.6,219.0,1.5,2.7,,nähtusteta,,0.0,35.0,02.01.2022,4
-6.6,88.0,1017.8,-2.3,196.0,1.9,3.2,,nähtusteta,,0.0,35.0,02.01.2022,5
-6.3,87.0,1016.9,-2.8,191.0,2.0,4.0,,nähtusteta,,0.0,35.0,02.01.2022,6
-6.2,87.0,1016.4,-2.6,191.0,2.2,4.3,,nähtusteta,,0.0,35.0,02.01.2022,7
-5.8,93.0,1015.4,-2.4,180.0,2.5,5.5,10.0,mõõdukas lumi,mõõdukas lumi,0.6,1.9,02.01.2022,8
-5.2,91.0,1013.8,-3.1,155.0,4.3,6.5,,nõrk lumi,,0.3,8.9,02.01.2022,9
-4.7,90.0,1012.6,-3.8,153.0,4.6,8.4,,nõrk lumi,,0.1,20.4,02.01.2022,10
-4.5,90.0,1011.6,-3.8,151.0,4.7,9.1,,nõrk lumi,,0.2,8.9,02.01.2022,11
-4.5,89.0,1010.0,-3.8,153.0,5.0,8.6,,jäätuv uduvihm,,0.0,26.2,02.01.2022,12
-4.2,84.0,1008.0,-4.6,146.0,5.6,10.2,,nähtusteta,,0.0,35.0,02.01.2022,13
-4.3,86.0,1006.3,-5.3,155.0,6.2,11.1,,nõrk lumi,,0.0,10.1,02.01.2022,14
-4.2,89.0,1005.1,-4.9,155.0,5.8,11.4,,nõrk lumi,,0.0,6.5,02.01.2022,15
-4.2,88.0,1003.6,-4.4,159.0,5.5,11.2,,nõrk lumi,,0.0,11.5,02.01.2022,16
-4.5,87.0,1002.6,-3.7,156.0,5.4,10.1,,nõrk lumi,,0.0,35.0,02.01.2022,17
-4.5,88.0,1001.2,-3.9,156.0,5.6,9.0,,lumi,,0.0,35.0,02.01.2022,18
-4.4,90.0,1000.6,-3.0,159.0,4.6,10.4,,nähtusteta,,0.0,35.0,02.01.2022,19
-4.4,92.0,999.7,-2.9,159.0,4.3,8.6,10.0,nähtusteta,nähtusteta,0.0,35.0,02.01.2022,20
-4.4,94.0,998.8,-2.4,155.0,4.0,8.3,,nähtusteta,,0.0,27.1,02.01.2022,21
-4.3,95.0,997.5,-3.1,147.0,4.1,7.8,,nõrk lumi,,0.0,1.7,02.01.2022,22
-4.1,92.0,996.6,-3.1,149.0,4.2,7.4,,nõrk lumi,,0.1,31.6,02.01.2022,23
-4.0,94.0,996.0,-2.8,167.0,3.7,7.5,,nõrk hooglumi,,0.0,3.8,03.01.2022,0
-3.8,95.0,995.3,-2.2,163.0,3.2,6.9,,nõrk hooglumi,,0.0,7.2,03.01.2022,1
-3.7,97.0,994.9,-1.7,163.0,2.9,6.3,,nõrk hooglumi,,0.0,4.0,03.01.2022,2
-3.5,96.0,994.3,-1.7,154.0,2.9,5.9,,jäätuv vihm,,0.0,15.2,03.01.2022,3
-3.4,96.0,994.0,-1.3,156.0,2.9,5.4,,nõrk lumi,,0.1,8.2,03.01.2022,4
-3.2,96.0,993.4,-1.5,164.0,3.1,5.7,,nõrk hooglumi,,0.1,3.7,03.01.2022,5
-2.9,97.0,993.1,-1.2,167.0,2.9,6.4,,jäätuv uduvihm,,0.2,5.3,03.01.2022,6
-2.7,97.0,992.9,-1.1,168.0,2.3,5.3,,jäätuv vihm,,0.2,10.8,03.01.2022,7
-2.6,97.0,992.7,-0.7,156.0,2.1,4.6,10.0,uduvine,uduvine,0.0,3.7,03.01.2022,8
-2.1,98.0,992.8,-0.3,171.0,2.0,4.0,,jäätuv uduvihm,,0.1,2.4,03.01.2022,9
-1.8,97.0,992.8,-0.1,171.0,1.9,3.8,,jäätuv vihm,,0.1,3.9,03.01.2022,10
-1.5,97.0,992.7,0.0,183.0,2.1,4.4,,nähtusteta,,0.0,14.5,03.01.2022,11
-1.2,97.0,992.7,-0.1,171.0,1.7,4.8,,uduvine,,0.0,9.9,03.01.2022,12
-1.1,98.0,992.5,-0.3,157.0,2.6,4.1,,uduvine,,0.0,4.9,03.01.2022,13
-0.8,99.0,992.5,-0.2,161.0,2.1,3.4,,nõrk hooglumi,,0.1,4.3,03.01.2022,14
-0.5,97.0,992.3,-0.4,159.0,2.3,3.6,,nõrk vihm,,0.4,7.4,03.01.2022,15
-0.3,98.0,992.4,-0.1,164.0,1.9,4.6,,nõrk vihm,,0.4,13.4,03.01.2022,16
-0.5,98.0,992.2,-0.3,171.0,1.7,3.2,,vihm,,0.0,3.2,03.01.2022,17
-0.5,99.0,992.2,-0.1,140.0,1.7,3.4,,nõrk hoogvihm,,0.1,3.7,03.01.2022,18
-0.5,98.0,992.1,-0.3,169.0,1.6,3.6,,uduvihm,,0.1,2.8,03.01.2022,19
-0.4,98.0,991.9,-0.3,149.0,1.8,3.4,10.0,nõrk hoogvihm,jäätuv uduvihm,0.1,10.5,03.01.2022,20
-0.4,99.0,991.9,-0.3,162.0,2.2,3.6,,sademed,,0.1,2.1,03.01.2022,21
-0.1,99.0,991.6,-0.5,175.0,1.1,3.1,,sademed,,0.1,1.3,03.01.2022,22
0.4,99.0,991.5,-0.4,201.0,1.6,3.5,,uduvine,,0.0,8.2,03.01.2022,23
0.3,99.0,991.5,-0.4,187.0,1.5,2.8,,nähtusteta,,0.0,13.1,04.01.2022,0
0.4,98.0,991.4,-0.2,188.0,1.9,3.3,,nähtusteta,,0.0,23.3,04.01.2022,1
0.5,99.0,991.2,-0.3,183.0,1.4,3.8,,nõrk hoogvihm,,0.0,18.6,04.01.2022,2
0.7,99.0,990.5,-1.0,156.0,2.7,3.9,,uduvine,,0.1,2.0,04.01.2022,3
0.7,100.0,990.1,-1.3,157.0,3.4,5.4,,vihm,,0.0,1.2,04.01.2022,4
0.8,100.0,989.5,-1.7,168.0,2.7,5.5,,udu,,0.1,1.4,04.01.2022,5
1.2,100.0,988.8,-1.7,165.0,3.1,5.3,,nõrk vihm,,0.0,1.2,04.01.2022,6
1.5,100.0,988.4,-1.7,171.0,3.3,6.4,,nõrk hoogvihm,,0.0,1.6,04.01.2022,7
1.6,100.0,988.2,-1.3,168.0,3.4,6.6,10.0,nõrk hoogvihm,nõrk hoogvihm,0.0,5.0,04.01.2022,8
2.0,99.0,987.9,-0.9,178.0,3.7,6.2,,nõrk hoogvihm,,0.0,5.6,04.01.2022,9
2.4,100.0,987.7,-0.7,183.0,3.4,7.2,,uduvine,,0.0,1.7,04.01.2022,10
2.7,99.0,987.3,-0.9,189.0,3.7,7.1,,nõrk hoogvihm,,0.0,2.2,04.01.2022,11
2.9,99.0,987.3,-0.6,188.0,3.5,6.7,,nõrk hoogvihm,,0.1,3.5,04.01.2022,12
3.0,98.0,987.4,-0.3,209.0,2.6,7.1,,uduvihm,,0.2,20.1,04.01.2022,13
3.0,95.0,987.5,0.2,218.0,2.2,5.6,,nähtusteta,,0.0,35.0,04.01.2022,14
2.9,93.0,987.7,0.4,221.0,2.6,5.0,,nähtusteta,,0.0,35.0,04.01.2022,15
1.5,96.0,988.0,0.6,212.0,1.4,5.6,,nähtusteta,,0.0,34.1,04.01.2022,16
0.8,96.0,988.0,0.5,212.0,2.0,3.8,,nähtusteta,,0.0,35.0,04.01.2022,17
0.1,96.0,988.2,0.5,208.0,2.9,4.7,,nähtusteta,,0.0,34.0,04.01.2022,18
-0.1,95.0,988.3,0.3,213.0,2.4,5.6,,nähtusteta,,0.0,35.0,04.01.2022,19
-0.8,99.0,988.1,0.1,206.0,3.3,5.7,10.0,udu,uduvine,0.0,0.88,04.01.2022,20
-1.1,100.0,988.0,-0.2,197.0,2.4,4.9,,udu,,0.0,19.1,04.01.2022,21
-1.5,97.0,987.9,-0.4,189.0,2.3,3.9,,nähtusteta,,0.0,35.0,04.01.2022,22
-1.6,97.0,987.8,-0.3,182.0,1.9,4.3,,nähtusteta,,0.0,32.1,04.01.2022,23
-1.4,97.0,987.4,-0.6,177.0,1.5,3.4,,nähtusteta,,0.0,30.7,05.01.2022,0
-1.2,97.0,987.2,-0.7,169.0,1.5,3.3,,nähtusteta,,0.0,33.9,05.01.2022,1
-1.0,97.0,986.6,-1.2,165.0,2.5,4.1,,nähtusteta,,0.0,34.5,05.01.2022,2
-0.8,97.0,986.1,-1.3,162.0,2.3,5.2,,nähtusteta,,0.0,26.6,05.01.2022,3
-0.7,97.0,985.9,-1.3,156.0,2.1,3.8,,nähtusteta,,0.0,25.3,05.01.2022,4
-0.8,98.0,985.5,-1.1,151.0,1.7,2.8,,nähtusteta,,0.0,16.1,05.01.2022,5
-0.4,98.0,985.2,-0.9,162.0,0.8,3.4,,nõrk hooglumi,,0.0,3.2,05.01.2022,6
-0.4,99.0,984.8,-1.1,114.0,0.6,1.3,,mõõdukas lumi,,0.9,1.4,05.01.2022,7
-0.4,98.0,984.7,-0.8,330.0,0.6,0.9,10.0,nõrk lumi,mõõdukas või tugev hooglumi,1.8,1.1,05.01.2022,8
-0.4,99.0,985.0,-0.2,309.0,0.9,1.7,,mõõdukas lumi,,1.3,1.7,05.01.2022,9
-0.3,98.0,985.3,0.5,271.0,0.8,1.3,,nõrk lumi,,0.8,2.6,05.01.2022,10
-0.3,97.0,985.6,0.9,224.0,0.8,2.0,,nõrk hoogvihm,,0.1,11.2,05.01.2022,11
-0.8,100.0,986.0,1.0,216.0,1.0,2.3,,udu,,0.0,0.56,05.01.2022,12
-0.7,99.0,986.0,0.7,186.0,1.6,3.0,,vihm,,0.0,12.8,05.01.2022,13
-0.3,97.0,985.9,0.3,216.0,1.9,3.5,,nähtusteta,,0.0,33.2,05.01.2022,14
-0.4,96.0,985.8,-0.2,204.0,2.4,4.5,,nähtusteta,,0.0,32.0,05.01.2022,15
-0.5,97.0,985.6,-0.4,161.0,2.3,4.8,,nähtusteta,,0.0,27.1,05.01.2022,16
-0.4,97.0,985.6,-0.3,162.0,2.4,5.2,,nõrk lumi,,0.0,7.6,05.01.2022,17
0.0,98.0,985.2,-0.6,153.0,3.1,5.0,,nõrk lumi,,0.4,11.4,05.01.2022,18
0.4,97.0,985.0,-0.6,176.0,2.6,5.4,,nõrk hooglumi,,0.1,3.8,05.01.2022,19
0.5,95.0,984.8,-0.8,209.0,3.7,6.5,9.0,nõrk lumi,nõrk hooglumi,0.2,17.2,05.01.2022,20
0.5,95.0,984.8,-0.4,216.0,4.1,7.6,,nõrk hoogvihm,,0.0,5.2,05.01.2022,21
0.4,96.0,985.2,0.2,229.0,5.5,9.4,,nõrk hooglumi,,0.1,3.2,05.01.2022,22
0.3,98.0,986.0,1.2,252.0,3.9,8.6,10.0,nõrk lumi,nõrk hooglumi,0.4,18.7,05.01.2022,23
0.4,97.0,986.5,1.7,273.0,2.6,6.3,,hoogsadu,,0.0,26.1,06.01.2022,0
0.3,97.0,987.1,1.9,301.0,2.5,5.5,,nõrk vihm,,0.0,16.0,06.01.2022,1
0.2,98.0,987.4,1.4,324.0,2.2,6.4,9.0,nõrk lumi,nähtusteta,0.0,15.2,06.01.2022,2
0.2,95.0,987.9,1.4,330.0,2.6,5.4,,nõrk hoogvihm,,0.0,35.0,06.01.2022,3
0.0,94.0,988.4,1.3,334.0,2.4,6.3,,nõrk hooglumi,,0.0,35.0,06.01.2022,4
-0.1,93.0,989.1,1.7,330.0,2.1,6.0,10.0,nähtusteta,nähtusteta,0.0,35.0,06.01.2022,5
0.0,92.0,989.8,1.9,316.0,2.1,6.0,,nähtusteta,,0.0,35.0,06.01.2022,6
-0.7,98.0,990.3,1.9,322.0,3.2,6.5,,nõrk lumi,,0.3,1.2,06.01.2022,7
-2.6,94.0,991.5,2.4,339.0,4.0,9.3,10.0,nõrk lumi,nõrk hooglumi,0.3,4.3,06.01.2022,8
-3.9,86.0,993.0,3.2,345.0,3.7,9.3,,lumi,,0.0,35.0,06.01.2022,9
-4.6,80.0,994.2,3.9,339.0,4.6,10.0,,nõrk hooglumi,,0.0,34.7,06.01.2022,10
-5.1,80.0,995.5,4.0,344.0,3.3,7.2,10.0,nõrk lumi,nõrk hooglumi,0.0,35.0,06.01.2022,11
-5.6,81.0,996.9,3.9,343.0,4.0,10.5,,nõrk lumi,,0.0,12.4,06.01.2022,12
-5.7,78.0,997.6,3.4,333.0,3.4,10.1,,nähtusteta,,0.0,35.0,06.01.2022,13
-5.4,80.0,998.4,2.9,337.0,2.3,7.2,4.0,nähtusteta,nähtusteta,0.0,35.0,06.01.2022,14
-5.2,76.0,999.0,2.1,341.0,1.6,6.8,,nähtusteta,,0.0,35.0,06.01.2022,15
-4.5,76.0,999.7,2.1,316.0,2.4,6.5,,nähtusteta,,0.0,35.0,06.01.2022,16
-3.9,76.0,1000.3,1.9,324.0,3.2,6.6,1.0,nähtusteta,nähtusteta,0.0,35.0,06.01.2022,17
-3.8,83.0,1000.6,1.6,305.0,2.3,8.8,,nähtusteta,,0.0,35.0,06.01.2022,18
-4.5,85.0,1000.7,1.0,248.0,1.9,4.2,,nähtusteta,,0.0,35.0,06.01.2022,19
-3.6,79.0,1000.4,0.1,293.0,2.3,5.3,6.0,nähtusteta,nähtusteta,0.0,35.0,06.01.2022,20
-3.2,73.0,1000.7,0.1,295.0,2.9,8.2,,nähtusteta,,0.0,35.0,06.01.2022,21
-3.5,74.0,1000.8,0.1,282.0,2.2,6.1,,nähtusteta,,0.0,35.0,06.01.2022,22
-2.7,70.0,1000.6,0.2,300.0,3.6,7.7,7.0,nähtusteta,nähtusteta,0.0,35.0,06.01.2022,23
-2.7,66.0,1000.6,-0.1,289.0,3.8,8.7,,lumi,,0.0,35.0,07.01.2022,0
-2.2,68.0,1000.6,-0.2,293.0,3.9,9.9,,nähtusteta,,0.0,35.0,07.01.2022,1
-2.3,68.0,1000.6,0.0,296.0,4.0,10.6,8.0,nähtusteta,nähtusteta,0.0,35.0,07.01.2022,2
-2.7,64.0,1000.6,0.0,304.0,4.4,11.6,,nähtusteta,,0.0,35.0,07.01.2022,3
-2.6,63.0,1000.6,0.0,311.0,4.4,13.7,,nähtusteta,,0.0,35.0,07.01.2022,4
-3.5,67.0,1001.0,0.4,308.0,5.0,13.1,10.0,nõrk hooglumi,nõrk hooglumi,0.1,35.0,07.01.2022,5
-3.8,66.0,1001.6,1.0,305.0,4.2,12.7,,nõrk hooglumi,,0.0,35.0,07.01.2022,6
-4.3,71.0,1002.1,1.5,316.0,4.0,9.6,,nähtusteta,,0.0,35.0,07.01.2022,7
-4.9,65.0,1002.6,1.6,327.0,4.2,9.6,4.0,nähtusteta,pinnatuisk,0.0,35.0,07.01.2022,8
-5.3,68.0,1003.3,1.7,313.0,3.9,9.8,,nähtusteta,,0.0,35.0,07.01.2022,9
-5.4,71.0,1004.2,2.1,308.0,3.1,9.2,,nähtusteta,,0.0,35.0,07.01.2022,10
-5.3,72.0,1004.8,2.2,314.0,4.0,10.0,8.0,nähtusteta,nähtusteta,0.0,35.0,07.01.2022,11
-4.9,71.0,1005.6,2.3,305.0,3.8,8.4,,nähtusteta,,0.0,35.0,07.01.2022,12
-4.7,68.0,1006.2,2.0,315.0,3.9,8.3,,nähtusteta,,0.0,35.0,07.01.2022,13
-4.5,68.0,1006.6,1.8,300.0,3.5,7.9,4.0,nähtusteta,nähtusteta,0.0,35.0,07.01.2022,14
-4.8,71.0,1007.2,1.6,300.0,3.0,8.2,,nähtusteta,,0.0,35.0,07.01.2022,15
-4.9,71.0,1008.0,1.8,316.0,3.1,7.9,,nähtusteta,,0.0,35.0,07.01.2022,16
-5.3,65.0,1008.7,2.1,316.0,2.1,6.5,3.0,nähtusteta,nähtusteta,0.0,35.0,07.01.2022,17
-5.1,71.0,1009.0,1.8,329.0,1.4,4.4,,nähtusteta,,0.0,35.0,07.01.2022,18
-5.3,66.0,1009.5,1.5,295.0,0.8,3.9,,nähtusteta,,0.0,35.0,07.01.2022,19
-7.1,74.0,1010.0,1.3,295.0,1.0,2.3,8.0,nähtusteta,nähtusteta,0.0,35.0,07.01.2022,20
-7.6,62.0,1010.3,1.3,280.0,1.1,4.2,,nähtusteta,,0.0,35.0,07.01.2022,21
-10.0,84.0,1010.8,1.3,241.0,1.6,2.4,,nähtusteta,,0.0,35.0,07.01.2022,22
-8.8,83.0,1011.6,1.6,219.0,1.4,2.2,10.0,nähtusteta,nähtusteta,0.0,35.0,07.01.2022,23
-8.9,84.0,1011.7,1.4,203.0,1.2,2.0,,nähtusteta,,0.0,35.0,08.01.2022,0
-10.2,89.0,1012.1,1.3,206.0,1.5,2.1,,nähtusteta,,0.0,35.0,08.01.2022,1
-10.4,90.0,1012.1,0.5,186.0,1.6,2.3,1.0,nähtusteta,nähtusteta,0.0,35.0,08.01.2022,2
-10.9,89.0,1012.1,0.4,181.0,2.0,2.7,,nähtusteta,,0.0,35.0,08.01.2022,3
-10.3,84.0,1012.3,0.2,187.0,1.6,2.7,,nähtusteta,,0.0,35.0,08.01.2022,4
-10.7,84.0,1012.1,0.0,163.0,1.5,2.4,3.0,nähtusteta,nähtusteta,0.0,35.0,08.01.2022,5
-9.9,81.0,1011.8,-0.3,148.0,2.0,2.7,,nähtusteta,,0.0,35.0,08.01.2022,6
-8.9,75.0,1011.6,-0.7,150.0,3.0,4.9,,nähtusteta,,0.0,35.0,08.01.2022,7
-8.6,72.0,1011.2,-0.9,138.0,2.7,4.7,8.0,nähtusteta,nähtusteta,0.0,35.0,08.01.2022,8
-7.5,69.0,1010.9,-0.9,123.0,3.7,6.1,,nähtusteta,,0.0,35.0,08.01.2022,9
-6.7,69.0,1010.5,-1.1,118.0,3.8,6.5,,nõrk hooglumi,,0.0,35.0,08.01.2022,10
-7.1,80.0,1009.7,-1.5,120.0,4.9,8.3,10.0,nõrk lumi,nõrk hooglumi,0.0,3.8,08.01.2022,11
-6.8,87.0,1009.1,-1.8,124.0,4.7,8.3,,nõrk lumi,,0.3,5.4,08.01.2022,12
-6.1,88.0,1008.4,-2.1,131.0,3.8,7.1,,nõrk lumi,,0.2,7.6,08.01.2022,13
-5.5,89.0,1007.5,-2.2,131.0,4.0,6.4,10.0,nõrk lumi,nõrk lumi,0.2,4.7,08.01.2022,14
-5.1,90.0,1006.8,-2.3,130.0,4.1,6.3,,nõrk lumi,,0.2,6.7,08.01.2022,15
-4.8,90.0,1006.3,-2.1,128.0,4.0,7.0,,nõrk lumi,,0.3,6.3,08.01.2022,16
-4.2,91.0,1005.8,-1.7,130.0,4.3,6.7,10.0,nõrk lumi,nõrk lumi,0.3,5.0,08.01.2022,17
-3.8,91.0,1005.2,-1.6,132.0,4.3,6.8,,nõrk lumi,,0.2,9.0,08.01.2022,18
-3.7,92.0,1004.5,-1.8,141.0,3.5,6.7,,nõrk lumi,,0.2,10.3,08.01.2022,19
-3.4,92.0,1003.8,-2.0,148.0,3.3,6.1,10.0,nõrk lumi,nõrk hooglumi,0.1,5.4,08.01.2022,20
-2.9,91.0,1003.5,-1.7,149.0,3.9,6.4,,nõrk lumi,,0.1,11.3,08.01.2022,21
-3.0,91.0,1003.0,-1.5,153.0,4.0,7.4,,nõrk lumi,,0.0,16.6,08.01.2022,22
-2.6,91.0,1002.7,-1.1,155.0,3.7,6.3,10.0,lumi,nähtusteta,0.0,16.4,08.01.2022,23
-2.4,93.0,1002.5,-1.0,157.0,3.7,6.0,,nõrk lumi,,0.0,8.3,09.01.2022,0
-2.5,94.0,1002.3,-0.7,151.0,3.2,5.6,,nõrk lumi,,0.1,3.6,09.01.2022,1
-2.5,94.0,1002.0,-0.7,147.0,3.2,5.8,10.0,nõrk lumi,nõrk lumi,0.4,5.2,09.01.2022,2
-2.6,94.0,1001.9,-0.6,151.0,2.6,5.1,,nõrk lumi,,0.3,2.1,09.01.2022,3
-2.6,95.0,1002.0,-0.3,143.0,2.2,5.1,,nõrk lumi,,0.6,3.6,09.01.2022,4
-2.6,95.0,1001.9,-0.1,138.0,1.6,4.2,10.0,nõrk lumi,nõrk lumi,0.2,4.9,09.01.2022,5
-2.8,95.0,1002.2,0.3,165.0,1.2,3.2,,nõrk lumi,,0.1,11.2,09.01.2022,6
-2.4,96.0,1002.5,0.5,167.0,1.1,2.4,,nõrk hooglumi,,0.1,5.6,09.01.2022,7
-2.4,96.0,1003.1,1.2,191.0,1.1,2.4,10.0,nõrk hooglumi,nõrk lumi,0.1,7.5,09.01.2022,8
-1.9,97.0,1003.9,1.7,186.0,0.9,2.2,,nõrk lumi,,0.2,4.9,09.01.2022,9
-1.7,97.0,1004.6,2.1,99.0,0.8,1.3,,nõrk vihm koos lumega,,0.3,3.7,09.01.2022,10
-1.5,97.0,1005.2,2.1,111.0,0.7,1.4,10.0,nõrk vihm,nõrk lumi,0.1,5.7,09.01.2022,11
-1.1,96.0,1005.6,1.7,76.0,1.0,1.4,,nõrk hooglumi,,0.1,5.7,09.01.2022,12
-0.7,96.0,1006.0,1.4,88.0,1.3,2.1,,lumi,,0.0,8.3,09.01.2022,13
-0.3,94.0,1006.6,1.4,62.0,0.7,1.6,10.0,nähtusteta,nähtusteta,0.0,13.0,09.01.2022,14
-0.2,94.0,1007.3,1.7,72.0,1.1,1.6,,nähtusteta,,0.0,12.2,09.01.2022,15
-0.2,94.0,1008.0,2.0,77.0,1.6,2.4,,nõrk hoogvihm,,0.0,12.1,09.01.2022,16
-0.5,93.0,1008.7,2.1,75.0,1.5,3.4,10.0,nõrk hoogvihm,nõrk lumi,0.0,12.4,09.01.2022,17
-0.5,93.0,1009.5,2.2,53.0,1.6,2.4,,nähtusteta,,0.0,10.7,09.01.2022,18
-0.6,95.0,1010.2,2.2,37.0,1.3,3.0,,uduvine,,0.0,5.0,09.01.2022,19
-0.8,96.0,1011.2,2.5,59.0,3.8,5.6,10.0,uduvine,uduvine,0.0,7.5,09.01.2022,20
-0.6,92.0,1012.4,2.9,53.0,3.8,6.9,,nähtusteta,,0.0,17.5,09.01.2022,21
-1.1,92.0,1013.5,3.3,58.0,3.4,7.9,,nähtusteta,,0.0,16.5,09.01.2022,22
-1.7,93.0,1014.6,3.4,62.0,4.5,7.6,10.0,nähtusteta,nähtusteta,0.0,14.8,09.01.2022,23
-1.9,92.0,1015.5,3.1,64.0,3.4,7.2,,nähtusteta,,0.0,15.3,10.01.2022,0
-2.3,91.0,1016.5,3.0,53.0,4.6,7.5,,nähtusteta,,0.0,20.5,10.01.2022,1
-2.8,89.0,1017.3,2.7,50.0,4.8,7.6,10.0,nähtusteta,nähtusteta,0.0,24.0,10.01.2022,2
-3.3,90.0,1018.2,2.7,45.0,3.6,7.4,,nähtusteta,,0.0,28.3,10.01.2022,3
-4.0,91.0,1019.1,2.6,40.0,3.4,7.6,,nähtusteta,,0.0,26.2,10.01.2022,4
-4.8,93.0,1020.1,2.8,41.0,3.8,7.1,10.0,nähtusteta,nähtusteta,0.0,23.4,10.01.2022,5
-5.7,94.0,1021.2,3.0,38.0,4.6,7.5,,nähtusteta,,0.0,29.8,10.01.2022,6
-5.4,94.0,1022.1,3.0,56.0,2.5,7.1,,nähtusteta,,0.0,27.9,10.01.2022,7
-4.3,90.0,1023.0,2.9,45.0,2.7,5.8,10.0,nähtusteta,nähtusteta,0.0,28.6,10.01.2022,8
-4.0,89.0,1024.3,3.1,63.0,3.0,5.7,,nähtusteta,,0.0,35.0,10.01.2022,9
-3.9,88.0,1025.2,3.1,44.0,2.7,5.3,,nähtusteta,,0.0,35.0,10.01.2022,10
-3.9,87.0,1026.0,3.0,52.0,3.0,5.2,10.0,nähtusteta,nähtusteta,0.0,35.0,10.01.2022,11
-4.4,88.0,1027.0,2.7,34.0,2.5,5.1,,nähtusteta,,0.0,34.4,10.01.2022,12
-4.3,87.0,1027.7,2.5,30.0,1.9,4.4,,nähtusteta,,0.0,26.0,10.01.2022,13
-4.7,88.0,1028.3,2.3,39.0,2.8,4.7,10.0,lumi,nõrk lumi,0.0,35.0,10.01.2022,14
-4.9,80.0,1029.4,2.4,39.0,2.6,5.5,,nähtusteta,,0.0,35.0,10.01.2022,15
-5.5,79.0,1030.1,2.4,38.0,3.2,5.4,,nähtusteta,,0.0,35.0,10.01.2022,16
-7.4,87.0,1030.7,2.4,28.0,0.8,4.6,3.0,nähtusteta,nähtusteta,0.0,27.2,10.01.2022,17
-10.2,93.0,1031.9,2.5,270.0,0.2,1.4,,nähtusteta,,0.0,31.6,10.01.2022,18
-10.5,88.0,1032.6,2.5,33.0,1.2,2.6,,nähtusteta,,0.0,35.0,10.01.2022,19
