coordinates,distance_m,duration_s,status
"('59.4172, 24.65465', '59.41049, 24.66565')",982,112,OK
"('59.42418, 24.74944', '59.42108, 24.75057')",351,41,OK
"('59.43326, 24.59223', '59.43609, 24.58117')",701,40,OK
"('59.41745, 24.72066', '59.41433, 24.71788')",382,45,OK
"('59.44772, 24.72891', '59.44986, 24.72418')",358,35,OK
"('59.43595, 24.75667', '59.43352, 24.75195')",496,106,OK
"('59.40781, 24.7236', '59.40494, 24.71651')",524,52,OK
"('59.44374, 24.82827', '59.44841, 24.82869')",751,71,OK
"('59.45122, 24.84953', '59.4504, 24.86019')",729,81,OK
"('59.45995, 24.86971', '59.46193, 24.8748')",364,37,OK
"('59.4374, 24.75819', '59.43618, 24.75149')",1840,369,OK
"('59.41336, 24.70824', '59.41978, 24.71316')",768,65,OK
"('59.44218, 24.88338', '59.44141, 24.8784')",298,39,OK
"('59.35687, 24.61121', '59.36136, 24.6138')",527,45,OK
"('59.39436, 24.64463', '59.39487, 24.65229')",444,44,OK
"('59.4014, 24.71112', '59.4053, 24.71786')",625,94,OK
"('59.44401, 24.83974', '59.44291, 24.8471')",530,51,OK
"('59.42987, 24.69144', '59.42046, 24.64684')",3262,283,OK
"('59.4436, 24.89001', '59.44218, 24.88338')",425,61,OK
"('59.44012, 24.78559', '59.4385, 24.77155')",2127,382,OK
"('59.45394, 24.70623', '59.45615, 24.69941')",602,78,OK
"('59.43321, 24.74426', '59.42036, 24.68362')",4494,510,OK
"('59.4182, 24.65376', '59.4214, 24.64953')",428,46,OK
"('59.43328, 24.83136', '59.43052, 24.83396')",341,34,OK
"('59.43102, 24.76046', '59.4288, 24.75253')",521,66,OK
"('59.43117, 24.63709', '59.43435, 24.62926')",570,46,OK
"('59.42236, 24.80231', '59.42316, 24.79516')",482,66,OK
"('59.4437, 24.74132', '59.44347, 24.75011')",760,111,OK
"('59.37343, 24.71812', '59.37572, 24.71579')",324,56,OK
"('59.45377, 24.5807', '59.45567, 24.57797')",262,25,OK
"('59.42084, 24.76441', '59.41763, 24.75888')",649,68,OK
"('59.43487, 24.83045', '59.43683, 24.82854')",243,33,OK
"('59.4382, 24.85132', '59.43635, 24.84596')",455,52,OK
"('59.48625, 24.88226', '59.49099, 24.88066')",593,59,OK
"('59.42478, 24.65077', '59.42415, 24.64332')",476,54,OK
"('59.45077, 24.89706', '59.45249, 24.89046')",421,50,OK
"('59.46356, 24.70183', '59.46004, 24.70344')",652,98,OK
"('59.38406, 24.65209', '59.38332, 24.6645')",721,60,OK
"('59.42953, 24.69245', '59.42929, 24.69814')",340,52,OK
"('59.43217, 24.74137', '59.4339, 24.75177')",684,164,OK
"('59.43306, 24.73439', '59.43148, 24.73952')",366,76,OK
"('59.39695, 24.69906', '59.40319, 24.68757')",1027,150,OK
"('59.42825, 24.62769', '59.42645, 24.63231')",2274,261,OK
"('59.425, 24.72978', '59.42667, 24.74168')",700,128,OK
"('59.48837, 24.87088', '59.487, 24.86525')",355,27,OK
"('59.44786, 24.8604', '59.44844, 24.86403')",215,66,OK
"('59.43491, 24.73149', '59.43306, 24.73439')",295,46,OK
"('59.42908, 24.74352', '59.43202, 24.74585')",357,45,OK
"('59.45474, 24.87934', '59.45452, 24.88412')",286,24,OK
"('59.43271, 24.74588', '59.4363, 24.75226')",572,86,OK
"('59.49663, 24.82798', '59.49181, 24.82975')",581,41,OK
"('59.42394, 24.6425', '59.42046, 24.64684')",726,106,OK
"('59.43531, 24.75867', '59.43398, 24.76995')",980,212,OK
"('59.44288, 24.87581', '59.44535, 24.87959')",1155,155,OK
"('59.44311, 24.70431', '59.44707, 24.70033')",494,54,OK
"('59.43985, 24.83077', '59.43582, 24.829')",1109,98,OK
"('59.45489, 24.68169', '59.45804, 24.67541')",503,47,OK
"('59.4201, 24.6835', '59.43251, 24.74267')",4398,516,OK
"('59.43667, 24.75665', '59.43711, 24.76158')",841,220,OK
"('59.42778, 24.67261', '59.42868, 24.68091')",480,32,OK
"('59.45196, 24.694', '59.45466, 24.68976')",389,36,OK
"('59.44956, 24.86948', '59.44932, 24.88098')",668,77,OK
"('59.40564, 24.73206', '59.40162, 24.72831')",496,55,OK
"('59.39487, 24.67323', '59.38746, 24.68674')",1237,162,OK
"('59.37914, 24.69354', '59.37585, 24.67716')",998,79,OK
"('59.45262, 24.88976', '59.44877, 24.89081')",500,51,OK
"('59.38746, 24.68674', '59.38638, 24.69108')",276,46,OK
"('59.42232, 24.74239', '59.41341, 24.73677')",1066,103,OK
"('59.43235, 24.74206', '59.4346, 24.75235')",659,110,OK
"('59.47495, 24.95111', '59.48069, 24.94412')",790,84,OK
"('59.43576, 24.75095', '59.43712, 24.76218')",675,129,OK
"('59.4585, 24.82001', '59.45782, 24.82379')",231,21,OK
"('59.41271, 24.60674', '59.41593, 24.60122')",560,59,OK
"('59.44877, 24.89081', '59.44781, 24.89321')",237,42,OK
"('59.44131, 24.76954', '59.44018, 24.75919')",679,121,OK
"('59.42527, 24.70106', '59.42829, 24.70912')",754,100,OK
"('59.36775, 24.65187', '59.37367, 24.6672')",1093,88,OK
"('59.42271, 24.78911', '59.42296, 24.79297')",232,35,OK
"('59.43591, 24.75726', '59.43352, 24.75195')",489,104,OK
"('59.35971, 24.6304', '59.36602, 24.6438')",1186,99,OK
"('59.42558, 24.74899', '59.42806, 24.74938')",338,67,OK
"('59.45178, 24.83969', '59.45122, 24.84953')",561,47,OK
"('59.41281, 24.63785', '59.40885, 24.62843')",891,101,OK
"('59.48746, 24.92761', '59.4907, 24.91596')",768,79,OK
"('59.42839, 24.86964', '59.43353, 24.86593')",609,51,OK
"('59.43386, 24.75259', '59.43671, 24.75754')",842,235,OK
"('59.44524, 24.71095', '59.44159, 24.71336')",431,43,OK
"('59.40308, 24.68743', '59.39707, 24.69844')",1040,147,OK
"('59.4504, 24.86019', '59.44844, 24.86403')",392,57,OK
"('59.4357, 24.84345', '59.43642, 24.84784')",291,52,OK
"('59.43531, 24.75867', '59.43746, 24.76375')",612,140,OK
"('59.43026, 24.65105', '59.43117, 24.63709')",802,66,OK
