coordinates,distance_m,duration_s,status
"('59.4346, 24.75235', '59.43437, 24.75576')",346,106,OK
"('59.42781, 24.76492', '59.42679, 24.77312')",480,84,OK
"('59.44912, 24.89177', '59.45067, 24.89794')",771,75,OK
"('59.45032, 24.70946', '59.45332, 24.70439')",703,167,OK
"('59.40682, 24.68309', '59.40481, 24.67531')",565,81,OK
"('59.39885, 24.68427', '59.39971, 24.69021')",353,36,OK
"('59.44702, 24.60528', '59.44448, 24.61315')",598,51,OK
"('59.41945, 24.6459', '59.41683, 24.6526')",511,60,OK
"('59.38823, 24.71827', '59.38531, 24.71101')",524,47,OK
"('59.44932, 24.88098', '59.44877, 24.89081')",681,81,OK
"('59.42629, 24.79754', '59.42812, 24.79209')",369,64,OK
"('59.4053, 24.71786', '59.40789, 24.72484')",534,59,OK
"('59.35971, 24.6304', '59.36576, 24.63253')",777,91,OK
"('59.4886, 24.85869', '59.48343, 24.85972')",827,85,OK
"('59.41132, 24.68821', '59.41482, 24.69138')",429,49,OK
"('59.40176, 24.66069', '59.39956, 24.66084')",311,41,OK
"('59.43004, 24.6121', '59.43164, 24.60062')",673,42,OK
"('59.41031, 24.71426', '59.40521, 24.7092')",636,59,OK
"('59.40821, 24.80799', '59.40794, 24.8109')",199,34,OK
"('59.39919, 24.68023', '59.39885, 24.68427')",465,111,OK
"('59.43544, 24.72077', '59.4346, 24.72604')",406,69,OK
"('59.44374, 24.82827', '59.44434, 24.81334')",1205,128,OK
"('59.4288, 24.7316', '59.43148, 24.73952')",541,52,OK
"('59.37771, 24.70651', '59.38049, 24.69884')",1702,204,OK
"('59.4339, 24.75177', '59.43304, 24.74642')",438,118,OK
"('59.38781, 24.683', '59.38616, 24.67728')",608,145,OK
"('59.4356, 24.76103', '59.43711, 24.75866')",467,137,OK
"('59.41586, 24.85865', '59.41587, 24.8514')",410,28,OK
"('59.44291, 24.8471', '59.4382, 24.85132')",645,85,OK
"('59.45567, 24.57797', '59.45969, 24.5729')",533,60,OK
"('59.44123, 24.7403', '59.44347, 24.75011')",2385,345,OK
"('59.42293, 24.78878', '59.42416, 24.78808')",295,38,OK
"('59.36528, 24.62924', '59.36084, 24.61285')",1294,132,OK
"('59.45452, 24.88412', '59.45262, 24.88976')",382,32,OK
"('59.41049, 24.66565', '59.40313, 24.66947')",986,100,OK
"('59.43163, 24.76849', '59.43102, 24.76046')",587,95,OK
"('59.40836, 24.70411', '59.41336, 24.70824')",602,57,OK
"('59.42507, 24.79489', '59.42586, 24.80173')",520,124,OK
"('59.42679, 24.77312', '59.42793, 24.7654')",455,111,OK
"('59.41132, 24.68821', '59.43251, 24.74267')",4522,497,OK
"('59.37343, 24.71812', '59.37791, 24.71786')",488,61,OK
"('59.39968, 24.66084', '59.40113, 24.65774')",348,57,OK
"('59.40275, 24.69749', '59.40319, 24.68757')",679,72,OK
"('59.4362, 24.72806', '59.43379, 24.72107')",910,144,OK
"('59.43368, 24.75282', '59.43304, 24.74642')",408,74,OK
"('59.42046, 24.64684', '59.41945, 24.6459')",195,56,OK
"('59.45648, 24.81028', '59.45177, 24.80693')",557,37,OK
"('59.40521, 24.7092', '59.40277, 24.70664')",310,66,OK
"('59.43726, 24.75833', '59.43547, 24.74967')",1282,260,OK
"('59.4581, 24.67552', '59.45979, 24.67187')",280,24,OK
"('59.43465, 24.83473', '59.43487, 24.83045')",308,46,OK
"('59.43465, 24.83473', '59.43342, 24.82702')",459,81,OK
"('59.43526, 24.7982', '59.43253, 24.78202')",1743,195,OK
"('59.42988, 24.70637', '59.42945, 24.69915')",429,45,OK
"('59.41259, 24.70873', '59.41097, 24.71607')",453,56,OK
"('59.49647, 24.9113', '59.4908, 24.91534')",772,63,OK
"('59.4451, 24.79787', '59.44205, 24.78883')",654,81,OK
"('59.36749, 24.75649', '59.37627, 24.74294')",1356,113,OK
"('59.37627, 24.74294', '59.37589, 24.73355')",534,41,OK
"('59.43842, 24.71674', '59.44157, 24.7136')",393,43,OK
"('59.45111, 24.83336', '59.45178, 24.83969')",507,43,OK
"('59.41118, 24.66614', '59.41401, 24.67238')",475,51,OK
"('59.37557, 24.72706', '59.37588, 24.73388')",388,29,OK
"('59.43546, 24.71205', '59.43062, 24.71818')",643,85,OK
"('59.41419, 24.73841', '59.42374, 24.74287')",1107,117,OK
"('59.45044, 24.86073', '59.45411, 24.86266')",544,55,OK
"('59.4228, 24.74592', '59.42023, 24.74053')",520,79,OK
"('59.46045, 24.67007', '59.45731, 24.6766')",510,49,OK
"('59.43644, 24.85806', '59.43635, 24.84596')",852,105,OK
"('59.42651, 24.7964', '59.42488, 24.79689')",2055,300,OK
"('59.46846, 24.83869', '59.46792, 24.86614')",1661,118,OK
"('59.42624, 24.86666', '59.42401, 24.85646')",631,53,OK
"('59.44881, 24.59042', '59.44676, 24.59104')",246,28,OK
"('59.44002, 24.84479', '59.44134, 24.86183')",980,51,OK
"('59.40308, 24.68743', '59.40312, 24.69886')",820,115,OK
"('59.44535, 24.87959', '59.44638, 24.88651')",415,47,OK
"('59.42075, 24.72354', '59.41745, 24.72066')",403,43,OK
"('59.39467, 24.64428', '59.40103, 24.64833')",781,73,OK
"('59.45115, 24.72722', '59.45095, 24.72175')",339,33,OK
"('59.38531, 24.71101', '59.38261, 24.70436')",483,37,OK
"('59.44218, 24.88338', '59.44363, 24.88089')",415,60,OK
"('59.42038, 24.7298', '59.41461, 24.73251')",660,54,OK
"('59.4449, 24.89665', '59.44652, 24.89653')",495,70,OK
"('59.41168, 24.66345', '59.41553, 24.65547')",665,71,OK
"('59.43582, 24.829', '59.43342, 24.82702')",441,61,OK
"('59.44429, 24.89672', '59.44912, 24.89177')",973,138,OK
"('59.44073, 24.80795', '59.44502, 24.8156')",762,84,OK
"('59.46076, 24.90515', '59.44877, 24.89081')",1684,138,OK
"('59.43642, 24.75725', '59.43319, 24.76136')",506,139,OK
"('59.43554, 24.86399', '59.43644, 24.85806')",501,64,OK
"('59.40628, 24.81604', '59.40802, 24.81109')",408,62,OK
"('59.43563, 24.81826', '59.42984, 24.80634')",956,113,OK
"('59.41252, 24.7071', '59.40773, 24.70305')",580,52,OK
"('59.35347, 24.62933', '59.35137, 24.62143')",629,64,OK
"('59.43354, 24.76246', '59.43726, 24.75833')",754,253,OK
"('59.4363, 24.75226', '59.43782, 24.75364')",257,59,OK
"('59.43855, 24.81988', '59.43563, 24.81826')",443,82,OK
"('59.4346, 24.72604', '59.43491, 24.73149')",313,32,OK
"('59.45912, 24.84616', '59.45828, 24.85381')",438,33,OK
"('59.40277, 24.70664', '59.39902, 24.7057')",425,47,OK
"('59.42806, 24.74938', '59.42893, 24.75874')",562,60,OK
"('59.44019, 24.70737', '59.44311, 24.70431')",368,35,OK
"('59.4482, 24.82699', '59.44322, 24.82953')",810,76,OK
"('59.40132, 24.65998', '59.40336, 24.66452')",342,42,OK
"('59.41275, 24.63655', '59.41224, 24.63969')",184,23,OK
"('59.37611, 24.64903', '59.37579, 24.64889')",47,8,OK
"('59.44311, 24.88244', '59.44475, 24.88949')",439,36,OK
"('59.42893, 24.6797', '59.42822, 24.67334')",369,21,OK
"('59.44085, 24.71325', '59.43766, 24.71748')",477,51,OK
"('59.40798, 24.6869', '59.40637, 24.6952')",503,51,OK
"('59.38828, 24.71926', '59.39261, 24.72377')",560,55,OK
"('59.42272, 24.71539', '59.41932, 24.71243')",414,35,OK
"('59.45249, 24.89046', '59.45483, 24.87905')",735,74,OK
"('59.4441, 24.68813', '59.44395, 24.69468')",365,61,OK
"('59.44383, 24.68727', '59.44029, 24.69903')",954,112,OK
"('59.44811, 24.6966', '59.45309, 24.70323')",675,106,OK
"('59.43164, 24.60062', '59.43326, 24.59223')",520,36,OK
"('59.45589, 24.69916', '59.45313, 24.70305')",493,65,OK
"('59.43762, 24.75321', '59.43606, 24.75113')",225,52,OK
"('59.36136, 24.6138', '59.36084, 24.61285')",77,8,OK
"('59.46926, 24.71643', '59.46004, 24.70344')",1272,143,OK
"('59.44355, 24.80015', '59.44205, 24.78883')",682,107,OK
"('59.45993, 24.70436', '59.4637, 24.70162')",729,99,OK
"('59.4416, 24.73275', '59.44105, 24.73843')",545,124,OK
"('59.45221, 24.7185', '59.44901, 24.72569')",540,55,OK
"('59.44986, 24.72418', '59.45297, 24.71698')",534,50,OK
"('59.43554, 24.79841', '59.43328, 24.79722')",274,26,OK
"('59.44347, 24.74369', '59.44109, 24.73788')",416,64,OK
"('59.41103, 24.73226', '59.40781, 24.7236')",634,62,OK
"('59.44638, 24.88651', '59.44781, 24.89321')",427,59,OK
"('59.35149, 24.61049', '59.35687, 24.61121')",704,78,OK
"('59.38697, 24.69114', '59.38928, 24.70232')",746,67,OK
"('59.40614, 24.6519', '59.40335, 24.65627')",399,87,OK
"('59.4413, 24.85843', '59.4382, 24.85132')",766,72,OK
"('59.41102, 24.64775', '59.41402, 24.65407')",500,62,OK
"('59.40319, 24.68757', '59.40481, 24.67531')",744,106,OK
"('59.43711, 24.76158', '59.43901, 24.77643')",868,121,OK
"('59.41467, 24.68887', '59.41694, 24.67974')",573,51,OK
"('59.41124, 24.80213', '59.40821, 24.80799')",525,58,OK
"('59.39714, 24.71033', '59.4014, 24.71112')",476,60,OK
"('59.42919, 24.7295', '59.42801, 24.72033')",615,77,OK
"('59.40336, 24.66452', '59.40313, 24.66947')",375,56,OK
"('59.50806, 24.8316', '59.50906, 24.83017')",216,47,OK
"('59.43075, 24.75874', '59.43531, 24.75867')",867,191,OK
"('59.42492, 24.74769', '59.42558, 24.74899')",227,64,OK
"('59.37715, 24.71772', '59.37557, 24.72706')",743,91,OK
"('59.4321, 24.73629', '59.43427, 24.73352')",297,38,OK
"('59.42989, 24.78634', '59.42805, 24.7919')",373,62,OK
"('59.45364, 24.71262', '59.45202, 24.71671')",397,40,OK
"('59.44316, 24.87191', '59.44342, 24.85946')",913,122,OK
"('59.42781, 24.76492', '59.42683, 24.77097')",380,57,OK
"('59.44707, 24.70033', '59.4493, 24.69793')",282,33,OK
"('59.43722, 24.6273', '59.44007, 24.6231')",400,30,OK
"('59.39893, 24.68232', '59.39548, 24.68356')",483,58,OK
"('59.37914, 24.69354', '59.37752, 24.68545')",492,38,OK
"('59.39894, 24.70589', '59.40243, 24.70656')",395,46,OK
"('59.44954, 24.69942', '59.45309, 24.70323')",490,101,OK
"('59.43335, 24.71944', '59.4346, 24.72604')",405,49,OK
"('59.48675, 24.84129', '59.48908, 24.85012')",885,92,OK
"('59.43563, 24.81826', '59.43199, 24.814')",795,103,OK
"('59.44134, 24.86183', '59.44848, 24.86223')",1083,138,OK
"('59.34141, 24.61678', '59.34459, 24.6224')",2625,194,OK
"('59.44357, 24.77992', '59.44131, 24.76954')",638,89,OK
"('59.44037, 24.84323', '59.43985, 24.83077')",707,36,OK
"('59.45306, 24.70464', '59.45006, 24.70975')",891,154,OK
"('59.42777, 24.71901', '59.42898, 24.70719')",692,64,OK
"('59.43235, 24.74206', '59.43352, 24.75195')",628,122,OK
"('59.41647, 24.83879', '59.41565, 24.84427')",325,30,OK
"('59.37302, 24.6439', '59.37618, 24.64985')",487,36,OK
"('59.45006, 24.70975', '59.44604, 24.71738')",654,111,OK
"('59.43575, 24.85807', '59.43587, 24.86653')",590,76,OK
"('59.40366, 24.65453', '59.39969, 24.64591')",677,69,OK
"('59.43352, 24.75195', '59.4288, 24.75253')",1683,396,OK
"('59.40682, 24.68309', '59.40308, 24.68743')",663,97,OK
"('59.48027, 24.85507', '59.48402, 24.86055')",528,42,OK
"('59.40968, 24.73665', '59.42908, 24.74352')",2215,251,OK
"('59.37585, 24.67716', '59.37293, 24.6646')",787,65,OK
"('59.41544, 24.73956', '59.40921, 24.73565')",732,69,OK
"('59.43386, 24.75259', '59.43531, 24.75867')",486,137,OK
"('59.37752, 24.68545', '59.37585, 24.67716')",505,41,OK
"('59.37947, 24.6952', '59.38088, 24.70038')",332,30,OK
"('59.42161, 24.77381', '59.41296, 24.75794')",1354,71,OK
"('59.41432, 24.68943', '59.41759, 24.69394')",498,88,OK
"('59.37293, 24.6646', '59.36751, 24.65039')",1009,79,OK
"('59.44165, 24.73218', '59.44209, 24.72867')",526,105,OK
"('59.43386, 24.75259', '59.43535, 24.75839')",470,134,OK
"('59.443, 24.88151', '59.44535, 24.87959')",831,123,OK
"('59.44344, 24.82215', '59.44434, 24.81334')",771,83,OK
"('59.43581, 24.58196', '59.43245, 24.59445')",808,53,OK
"('59.41633, 24.65641', '59.4182, 24.65376')",256,19,OK
"('59.44912, 24.89177', '59.44953, 24.88037')",718,91,OK
"('59.43711, 24.75862', '59.43712, 24.76218')",201,31,OK
"('59.42478, 24.65077', '59.42055, 24.65025')",773,102,OK
"('59.43088, 24.7182', '59.43311, 24.71573')",284,48,OK
"('59.4184, 24.72177', '59.42174, 24.72466')",404,40,OK
"('59.46943, 24.90873', '59.47018, 24.90215')",726,69,OK
"('59.47295, 24.89841', '59.47251, 24.88414')",915,74,OK
"('59.4686, 24.83999', '59.46672, 24.83266')",568,111,OK
"('59.40461, 24.61551', '59.40475, 24.62897')",850,108,OK
"('59.43901, 24.77643', '59.44083, 24.78666')",611,63,OK
"('59.34184, 24.6157', '59.34141, 24.61678')",1827,181,OK
"('59.43211, 24.81311', '59.42984, 24.80634')",515,52,OK
"('59.4257, 24.79719', '59.42263, 24.78577')",947,116,OK
"('59.44912, 24.89177', '59.45249, 24.89046')",457,51,OK
"('59.4267, 24.81422', '59.42638, 24.8072')",399,40,OK
"('59.41576, 24.63969', '59.41944, 24.64545')",573,62,OK
"('59.37367, 24.6672', '59.376, 24.67868')",701,61,OK
"('59.45745, 24.8119', '59.4585, 24.82001')",684,52,OK
"('59.44856, 24.69161', '59.44684, 24.69106')",240,57,OK
"('59.42459, 24.71737', '59.42801, 24.72033')",417,72,OK
"('59.43319, 24.76136', '59.4316, 24.76755')",392,69,OK
"('59.40243, 24.70656', '59.40574, 24.71013')",424,75,OK
"('59.43694, 24.57434', '59.43581, 24.58196')",459,29,OK
"('59.44193, 24.7291', '59.4416, 24.73275')",2444,391,OK
"('59.43321, 24.74426', '59.42478, 24.65077')",5575,507,OK
"('59.42655, 24.63247', '59.42917, 24.62579')",480,42,OK
"('59.44322, 24.82953', '59.44401, 24.83974')",633,52,OK
"('59.41341, 24.73677', '59.41103, 24.73226')",368,52,OK
"('59.44765, 24.72887', '59.44464, 24.73711')",581,75,OK
"('59.42126, 24.76924', '59.42122, 24.76395')",307,39,OK
"('59.42284, 24.77095', '59.42679, 24.77312')",606,99,OK
"('59.45651, 24.94503', '59.45758, 24.93861')",385,29,OK
"('59.45122, 24.84953', '59.45411, 24.86266')",999,117,OK
"('59.42105, 24.82538', '59.42236, 24.82114')",281,23,OK
"('59.41569, 24.85379', '59.41567, 24.86108')",413,27,OK
"('59.40475, 24.62897', '59.40452, 24.634')",286,39,OK
"('59.42823, 24.74232', '59.40921, 24.73565')",2172,218,OK
"('59.47678, 24.91898', '59.47294, 24.91241')",577,46,OK
"('59.435, 24.75569', '59.42893, 24.75874')",896,206,OK
"('59.4208, 24.82578', '59.41905, 24.83109')",358,29,OK
"('59.41137, 24.71459', '59.41252, 24.7071')",488,76,OK
"('59.41588, 24.84328', '59.41681, 24.83822')",316,27,OK
"('59.43595, 24.75667', '59.43618, 24.75149')",1346,260,OK
"('59.42883, 24.62016', '59.4281, 24.62591')",1036,116,OK
"('59.41402, 24.65407', '59.41542, 24.65624')",219,29,OK
"('59.39956, 24.66084', '59.39761, 24.66328')",258,36,OK
"('59.42898, 24.70719', '59.4254, 24.70077')",633,76,OK
"('59.43839, 24.77034', '59.43746, 24.76375')",382,65,OK
"('59.36084, 24.61285', '59.3562, 24.61096')",526,46,OK
"('59.40243, 24.70656', '59.40028, 24.71106')",522,102,OK
"('59.41402, 24.65407', '59.41821, 24.65122')",582,65,OK
"('59.40103, 24.64833', '59.40335, 24.65627')",599,75,OK
"('59.39799, 24.67658', '59.39885, 24.68427')",449,72,OK
"('59.39247, 24.67281', '59.38746, 24.68674')",1085,155,OK
"('59.44209, 24.72867', '59.44421, 24.72213')",3069,376,OK
"('59.43465, 24.83473', '59.43855, 24.81988')",1146,150,OK
"('59.41944, 24.64545', '59.41922, 24.64261')",394,62,OK
"('59.44625, 24.71702', '59.45032, 24.70946')",2104,318,OK
"('59.45027, 24.7363', '59.45115, 24.72722')",524,45,OK
"('59.36482, 24.63642', '59.36, 24.62988')",725,58,OK
"('59.44781, 24.89321', '59.4449, 24.89665')",797,110,OK
"('59.44946, 24.8682', '59.44786, 24.8604')",477,83,OK
"('59.42394, 24.6425', '59.4237, 24.64863')",1410,237,OK
"('59.4091, 24.72482', '59.41137, 24.71459')",631,66,OK
"('59.40029, 24.67115', '59.40368, 24.6659')",628,78,OK
"('59.44592, 24.70108', '59.44275, 24.70435')",401,47,OK
"('59.4643, 24.82934', '59.46721, 24.83382')",412,32,OK
"('59.4044, 24.65646', '59.41049, 24.66565')",908,110,OK
"('59.47699, 24.92068', '59.474, 24.93115')",678,63,OK
"('59.42448, 24.78432', '59.4201, 24.79391')",802,132,OK
"('59.44748, 24.89134', '59.44635, 24.88588')",333,42,OK
"('59.4413, 24.85843', '59.44037, 24.84323')",872,45,OK
"('59.43396, 24.74633', '59.42755, 24.74838')",1203,208,OK
"('59.43548, 24.75959', '59.43352, 24.75195')",585,122,OK
"('59.43052, 24.83396', '59.42853, 24.83569')",242,55,OK
"('59.37589, 24.73355', '59.37562, 24.72597')",430,32,OK
"('59.44502, 24.8156', '59.4418, 24.82284')",715,65,OK
"('59.37752, 24.68545', '59.37652, 24.67761')",513,46,OK
"('59.45072, 24.83306', '59.4482, 24.82699')",489,40,OK
"('59.44216, 24.85441', '59.44375, 24.86183')",455,40,OK
"('59.42747, 24.65513', '59.43026, 24.65105')",443,76,OK
"('59.42682, 24.81387', '59.42655, 24.80768')",349,35,OK
"('59.40296, 24.70772', '59.40234, 24.7185')",626,63,OK
"('59.43777, 24.81895', '59.43602, 24.81168')",622,89,OK
"('59.41944, 24.64545', '59.42043, 24.64478')",266,52,OK
"('59.44816, 24.8033', '59.45293, 24.80824')",603,46,OK
"('59.48625, 24.88226', '59.49074, 24.87911')",599,68,OK
"('59.42853, 24.83569', '59.41588, 24.84328')",1558,127,OK
"('59.44781, 24.86215', '59.44241, 24.86513')",687,91,OK
"('59.37947, 24.6952', '59.38029, 24.70017')",333,32,OK
"('59.40707, 24.68366', '59.40798, 24.6869')",268,42,OK
"('59.4288, 24.7316', '59.43251, 24.74267')",757,79,OK
"('59.45221, 24.7185', '59.4508, 24.72308')",327,34,OK
"('59.41932, 24.71243', '59.41459, 24.70867')",568,46,OK
"('59.43072, 24.79219', '59.42997, 24.78653')",490,75,OK
"('59.47126, 24.87714', '59.47256, 24.88489')",461,38,OK
"('59.43951, 24.83268', '59.44002, 24.84479')",685,36,OK
"('59.47853, 24.84894', '59.47364, 24.83701')",1629,164,OK
"('59.43546, 24.71205', '59.43335, 24.71944')",599,95,OK
"('59.45804, 24.67541', '59.45974, 24.67175')",281,24,OK
"('59.37599, 24.63499', '59.37949, 24.63679')",402,35,OK
"('59.45297, 24.71698', '59.4538, 24.71167')",322,28,OK
"('59.39968, 24.66084', '59.40132, 24.65998')",231,28,OK
"('59.38088, 24.70038', '59.40968, 24.73665')",3953,370,OK
"('59.44382, 24.75125', '59.43988, 24.73786')",1173,144,OK
"('59.42085, 24.79939', '59.41814, 24.79954')",591,139,OK
"('59.46672, 24.83266', '59.46357, 24.8271')",499,69,OK
"('59.4418, 24.82284', '59.43582, 24.829')",752,74,OK
"('59.42285, 24.81199', '59.42212, 24.82092')",517,41,OK
"('59.4805, 24.89078', '59.47452, 24.89646')",748,53,OK
"('59.43384, 24.56078', '59.4338, 24.56393')",373,46,OK
"('59.43052, 24.83396', '59.42713, 24.82017')",1010,100,OK
"('59.42448, 24.78432', '59.42271, 24.78911')",390,74,OK
"('59.43088, 24.7182', '59.43335, 24.71944')",402,62,OK
"('59.45403, 24.8619', '59.45131, 24.84782')",1035,110,OK
"('59.37868, 24.65534', '59.38147, 24.66414')",589,47,OK
"('59.38651, 24.64639', '59.38406, 24.65209')",420,34,OK
"('59.39761, 24.66328', '59.397, 24.66864')",738,308,OK
"('59.41683, 24.6526', '59.41328, 24.65295')",441,50,OK
"('59.44382, 24.75125', '59.44641, 24.74673')",483,55,OK
"('59.43465, 24.83473', '59.43328, 24.83136')",314,63,OK
"('59.46792, 24.86614', '59.47126, 24.87714')",745,57,OK
"('59.3869, 24.69007', '59.38878, 24.6833')",492,83,OK
"('59.42655, 24.63247', '59.4282, 24.62542')",439,36,OK
"('59.41103, 24.73226', '59.4091, 24.72482')",551,53,OK
"('59.44502, 24.8156', '59.44841, 24.82869')",846,86,OK
"('59.41821, 24.65122', '59.42043, 24.64478')",496,69,OK
"('59.44705, 24.59121', '59.44878, 24.59003')",217,18,OK
"('59.4201, 24.79391', '59.41821, 24.79905')",466,81,OK
"('59.40837, 24.80627', '59.41646, 24.79659')",1053,80,OK
"('59.4538, 24.71167', '59.45394, 24.70623')",308,26,OK
"('59.38692, 24.71807', '59.39261, 24.72377')",728,78,OK
"('59.4033, 24.66965', '59.41118, 24.66614')",1065,137,OK
"('59.43794, 24.81773', '59.43563, 24.81826')",409,80,OK
"('59.4449, 24.89665', '59.4436, 24.89001')",3814,388,OK
"('59.43379, 24.72107', '59.43311, 24.71573')",342,64,OK
"('59.40968, 24.73665', '59.41495, 24.73992')",614,54,OK
"('59.45984, 24.92823', '59.4577, 24.93757')",579,43,OK
"('59.48401, 24.88451', '59.48104, 24.89062')",491,43,OK
"('59.42074, 24.77166', '59.42416, 24.78808')",1307,125,OK
"('59.43609, 24.72016', '59.43842, 24.71674')",326,40,OK
"('59.43192, 24.76757', '59.43354, 24.76246')",792,186,OK
"('59.43328, 24.79722', '59.43072, 24.79219')",415,51,OK
"('59.43323, 24.74397', '59.4321, 24.73629')",472,64,OK
"('59.43126, 24.71241', '59.43311, 24.71573')",327,45,OK
"('59.41378, 24.67153', '59.4126, 24.66862')",211,20,OK
"('59.38261, 24.70436', '59.38049, 24.69884')",1532,176,OK
"('59.48993, 24.83482', '59.49239, 24.8292')",424,27,OK
"('59.39528, 24.67334', '59.40029, 24.67115')",584,62,OK
"('59.43547, 24.74967', '59.43322, 24.74579')",344,67,OK
"('59.44306, 24.76665', '59.44421, 24.76061')",1697,317,OK
"('59.4288, 24.75253', '59.42755, 24.74838')",323,46,OK
"('59.45914, 24.57318', '59.45572, 24.57786')",463,57,OK
"('59.42667, 24.74168', '59.42288, 24.74234')",463,60,OK
"('59.43022, 24.73629', '59.42919, 24.7295')",1458,216,OK
"('59.43427, 24.73352', '59.4362, 24.72806')",549,93,OK
"('59.45509, 24.68924', '59.45489, 24.68169')",434,41,OK
"('59.39971, 24.69021', '59.40319, 24.68757')",782,92,OK
"('59.4383, 24.76981', '59.43746, 24.76375')",353,61,OK
"('59.42489, 24.79696', '59.42656, 24.79662')",620,124,OK
"('59.41066, 24.687', '59.40682, 24.68309')",481,82,OK
"('59.44732, 24.89711', '59.44912, 24.89177')",431,55,OK
"('59.38028, 24.7177', '59.38508, 24.71762')",534,37,OK
"('59.44288, 24.87581', '59.443, 24.88151')",324,31,OK
"('59.44421, 24.72213', '59.44625, 24.71702')",2450,337,OK
"('59.44316, 24.87191', '59.44241, 24.86513')",393,64,OK
"('59.43052, 24.83396', '59.42941, 24.84011')",631,115,OK
"('59.45953, 24.67216', '59.45783, 24.67583')",281,25,OK
"('59.47919, 24.92417', '59.47678, 24.91898')",397,29,OK
"('59.48104, 24.89062', '59.48442, 24.88425')",540,50,OK
"('59.45296, 24.90532', '59.45077, 24.89706')",555,59,OK
"('59.47304, 24.94072', '59.47495, 24.95111')",627,67,OK
"('59.44676, 24.59104', '59.44269, 24.59528')",574,49,OK
"('59.42643, 24.65805', '59.42478, 24.65077')",451,42,OK
"('59.43562, 24.8064', '59.43526, 24.7982')",476,25,OK
"('59.37562, 24.72597', '59.37791, 24.71786')",756,103,OK
"('59.48908, 24.85012', '59.4886, 24.85869')",501,51,OK
"('59.44461, 24.76014', '59.4427, 24.76475')",1853,378,OK
"('59.48969, 24.8756', '59.49042, 24.88012')",341,36,OK
"('59.43985, 24.83077', '59.43868, 24.81715')",793,41,OK
"('59.44375, 24.86183', '59.44288, 24.87581')",1029,120,OK
"('59.43323, 24.74397', '59.43022, 24.73629')",1711,217,OK
"('59.42374, 24.74287', '59.42755, 24.74838')",748,112,OK
"('59.40836, 24.70411', '59.43251, 24.74267')",3726,387,OK
"('59.43281, 24.74713', '59.4339, 24.75177')",339,129,OK
"('59.42953, 24.69245', '59.42829, 24.70912')",966,109,OK
"('59.4054, 24.6686', '59.41168, 24.66345')",924,119,OK
"('59.35164, 24.61323', '59.35687, 24.61121')",821,92,OK
"('59.46019, 24.90472', '59.47018, 24.90215')",1162,114,OK
"('59.44286, 24.78875', '59.44357, 24.77992')",508,61,OK
"('59.40368, 24.6659', '59.40176, 24.66069')",372,44,OK
"('59.42463, 24.74269', '59.42908, 24.74352')",508,92,OK
"('59.45403, 24.8619', '59.4504, 24.86019')",511,59,OK
"('59.4482, 24.82699', '59.4418, 24.82284')",1179,117,OK
"('59.44038, 24.7549', '59.43642, 24.75725')",1864,325,OK
"('59.41683, 24.6526', '59.41542, 24.65624')",366,42,OK
"('59.39105, 24.72157', '59.38823, 24.71827')",378,37,OK
"('59.43945, 24.87618', '59.44146, 24.88034')",384,55,OK
"('59.4165, 24.67841', '59.41432, 24.68943')",721,76,OK
"('59.43582, 24.829', '59.43328, 24.83136')",312,59,OK
"('59.45102, 24.72792', '59.44985, 24.73787')",582,50,OK
"('59.45861, 24.82012', '59.46075, 24.81995')",379,34,OK
"('59.42036, 24.8089', '59.42082, 24.80232')",438,88,OK
"('59.4686, 24.83999', '59.47109, 24.8357')",657,82,OK
"('59.4299, 24.61288', '59.42883, 24.62016')",430,36,OK
"('59.376, 24.67868', '59.37759, 24.68654')",479,39,OK
"('59.39663, 24.70986', '59.3955, 24.71556')",652,108,OK
"('59.39919, 24.68023', '59.3989, 24.68361')",427,98,OK
"('59.46721, 24.83382', '59.46846, 24.83869')",375,43,OK
"('59.39237, 24.66346', '59.3968, 24.66373')",517,62,OK
"('59.44901, 24.72569', '59.44765, 24.72887')",235,27,OK
"('59.42919, 24.7295', '59.42777, 24.71901')",644,81,OK
"('59.43214, 24.71359', '59.4284, 24.70343')",716,86,OK
"('59.44347, 24.75011', '59.44038, 24.7549')",453,59,OK
"('59.43642, 24.84784', '59.43575, 24.85807')",775,84,OK
"('59.45502, 24.87129', '59.45798, 24.86105')",696,59,OK
"('59.41542, 24.65624', '59.41049, 24.66565')",783,88,OK
"('59.43304, 24.74642', '59.43022, 24.73629')",1852,240,OK
"('59.42941, 24.84011', '59.42888, 24.83702')",184,49,OK
"('59.44612, 24.6994', '59.44592, 24.70108')",182,48,OK
"('59.48343, 24.85972', '59.48013, 24.85461')",476,37,OK
"('59.40466, 24.65491', '59.40555, 24.65317')",150,23,OK
"('59.43602, 24.81168', '59.43562, 24.8064')",408,47,OK
"('59.42651, 24.7964', '59.42646, 24.80806')",1115,200,OK
"('59.44083, 24.78666', '59.44232, 24.79074')",307,45,OK
"('59.39991, 24.67195', '59.39999, 24.67953')",512,63,OK
"('59.45828, 24.85381', '59.45803, 24.86239')",484,40,OK
"('59.45313, 24.70305', '59.44941, 24.69903')",474,56,OK
"('59.42122, 24.76395', '59.41964, 24.75139')",836,74,OK
"('59.42643, 24.65805', '59.42747, 24.65513')",276,72,OK
"('59.42401, 24.85646', '59.42632, 24.85092')",507,47,OK
"('59.40982, 24.73606', '59.41444, 24.73943')",623,72,OK
