weigth,x,y,weigth_class
2,59.430184158426,24.709156019238,2
24,59.430136415075,24.717964851513,12
6,59.430088082359,24.726773659023,6
18,59.430039160282,24.735582441464,11
123,59.429989648846,24.744391198533,20
26,59.429939548053,24.753199929927,12
33,59.429888857905,24.76200863534,13
19,59.429837578406,24.770817314471,11
6,59.429785709557,24.779625967014,6
27,59.429733251363,24.788434592667,12
8,59.429680203824,24.797243191125,8
15,59.429626566945,24.806051762085,11
7,59.429517525173,24.823668820296,7
1,59.429462120287,24.832477306939,1
4,59.429406126071,24.84128576487,4
1,59.429292369661,24.858902593379,1
1,59.433168249048,24.555034212256,1
3,59.43301498628,24.590273274086,3
1,59.432934818278,24.607892684031,1
1,59.434719196165,24.700439150464,1
22,59.43467203607,24.709249164039,12
38,59.434624286532,24.718059153142,13
9,59.434575947553,24.726869117472,9
24,59.434527019136,24.735679056723,12
895,59.434477501283,24.744488970592,20
420,59.434427393997,24.753298858774,20
68,59.43437669728,24.762108720967,16
36,59.434325411135,24.770918556866,13
9,59.434273535565,24.779728366168,9
2,59.434221070572,24.788538148568,2
6,59.434168016159,24.797347903763,6
2,59.434114372329,24.806157631449,2
47,59.434060139084,24.814967331323,14
39,59.434005316427,24.823777003079,13
11,59.433949904361,24.832586646416,11
14,59.433893902888,24.841396261028,11
2,59.433837312013,24.850205846613,2
2,59.433780131737,24.859015402866,2
1,59.433722362063,24.867824929484,1
1,59.439727083125,24.594795315171,1
13,59.439207072005,24.700531162593,11
9,59.439159905798,24.70934233331,9
4,59.439112150071,24.718153479547,4
36,59.439063804827,24.726964600999,13
58,59.439014870069,24.735775697364,15
207,59.438965345798,24.744586768336,20
403,59.438915232018,24.753397813612,20
114,59.438864528731,24.762208832887,20
30,59.438813235939,24.771019825859,12
8,59.438761353646,24.779830792223,8
6,59.438708881853,24.788641731675,6
2,59.438655820564,24.79745264391,2
7,59.438602169781,24.806263528627,7
10,59.438547929508,24.815074385519,10
25,59.438493099745,24.823885214284,12
30,59.438437680498,24.832696014617,12
41,59.438381671768,24.841506786215,14
5,59.438325073558,24.850317528773,5
10,59.438267885871,24.859128241989,10
18,59.43821010871,24.867938925557,11
19,59.438151742079,24.876749579174,11
4,59.438092785979,24.885560202537,4
1,59.438033240414,24.894370795341,1
14,59.443787515747,24.682998470317,11
36,59.443741522625,24.691810846548,13
25,59.443694939903,24.700623198898,12
12,59.443647767582,24.709435527062,11
2,59.443600005665,24.718247830736,2
11,59.443551654155,24.727060109615,11
45,59.443502713054,24.735872363397,14
39,59.443453182364,24.744684591776,13
82,59.443403062088,24.753496794449,18
52,59.443352352229,24.762308971112,15
18,59.443301052789,24.77112112146,11
2,59.443249163771,24.77993324519,2
3,59.443143617011,24.797557411578,3
13,59.443089959274,24.806369453628,11
2,59.44303571197,24.815181467843,2
7,59.442980875102,24.823993453919,7
4,59.442925448671,24.832805411553,4
13,59.442869432682,24.84161734044,11
5,59.442812827136,24.850429240277,5
15,59.442755632037,24.859241110758,11
30,59.442697847388,24.868052951581,12
44,59.442639473191,24.876864762441,14
36,59.44258050945,24.885676543035,13
12,59.442520956167,24.894488293057,11
1,59.442460813347,24.903300012205,1
1,59.448662843582,24.603765384362,1
3,59.448275387675,24.683088215278,3
41,59.448229388591,24.691901749279,14
16,59.44818279983,24.700715259389,11
29,59.448135621394,24.709528745304,12
2,59.448087853286,24.718342206718,2
1,59.448039495508,24.727155643329,1
4,59.447990548063,24.735969054832,4
5,59.447941010953,24.744782440923,5
1,59.44757774078,24.806475406463,1
4,59.447468642467,24.824101721998,4
33,59.447413208852,24.832914837236,13
2,59.447357185602,24.841727923717,2
2,59.447300572719,24.850540981135,2
8,59.447185578066,24.868167007568,8
11,59.447127196303,24.876979975975,11
13,59.447068224919,24.885792914103,11
19,59.447008663917,24.894605821649,11
2,59.449162061891,24.907884769138,2
1,59.452808666898,24.674363268155,1
14,59.452763251607,24.683177983826,11
27,59.452717246559,24.691992675901,12
27,59.452670651759,24.700807344076,12
21,59.452623467207,24.709621988045,12
7,59.452575692906,24.718436607505,7
9,59.452527328859,24.727251202152,9
8,59.452478375068,24.73606577168,8
3,59.451844930501,24.841838536055,3
6,59.451788310279,24.850652751359,6
2,59.451731100351,24.859466937286,2
13,59.451673300719,24.86828109353,11
47,59.451614911388,24.877095219788,14
11,59.451555932359,24.885909315755,11
1,59.451496363636,24.894723381127,1
2,59.457341360039,24.665636004552,2
4,59.457296528694,24.674451901912,4
23,59.457251107515,24.683267775971,12
2,59.457205096503,24.692083626424,2
1,59.456444153116,24.824318343528,1
1,59.456388705127,24.833133774888,1
1,59.45633266735,24.841949177468,1
31,59.456218822443,24.859579895067,13
7,59.456161015318,24.868395209478,7
4,59.456102618417,24.877210493891,4
2,59.456043631742,24.886025748001,2
8,59.461829219598,24.665723502909,8
4,59.46178438244,24.67454055897,4
3,59.461738955371,24.683357591721,3
1,59.46164633151,24.700991586073,1
1,59.460986761654,24.815610078637,1
6,59.460931896344,24.824426697002,6
4,59.460876441166,24.833243286879,4
3,59.460590317362,24.877325798296,3
1,59.460531323039,24.886142210854,1
1,59.466086956368,24.709901863364,1
16,59.465419631469,24.824535078963,11
4,59.4653641691,24.833352827663,4
1,59.467112749195,24.908362204844,1
2,59.470526970819,24.718814458886,2
2,59.469907358465,24.824643489424,2
14,59.469851888904,24.83346239725,11
3,59.469795829325,24.842281276261,3
1,59.469506681267,24.886375228429,1
3,59.474339600548,24.833571995651,3
1,59.474283533699,24.842392034082,1
1,59.473994348142,24.886491783175,1
6,59.478771229884,24.842502821035,6
4,59.478714565595,24.851323990048,4
1,59.483202246214,24.851435966161,1
2,59.485183739849,24.891194687428,2
1,59.487689918587,24.851547971734,1
2,59.487574789655,24.869194861726,2
1,59.48751633972,24.878018261753,1
3,59.494506225242,24.838478178773,3
3,59.494277103435,24.873778981705,3
1,59.521084579672,24.892133490332,1
