weigth,x,y,weigth_class
1,59.118471853867,25.667538600852,1
1,59.352068254279,24.624036717465,1
1,59.360300840216,24.764856059996,1
2,59.363267448739,24.628637073165,2
2,59.367670181368,24.646305212301,2
1,59.367305398936,24.716647224566,1
1,59.369276743404,24.765056597149,1
2,59.372114663605,24.655183932246,2
1,59.372070530857,24.663977894822,1
1,59.371934602297,24.690359644391,1
2,59.371793378315,24.716741180374,2
1,59.376689188571,24.637679543929,1
1,59.376468496274,24.681655120027,1
1,59.376422592429,24.69045016614,1
7,59.376329019372,24.708040186839,7
3,59.376281350165,24.716835160821,3
2,59.376134811858,24.74321993367,2
2,59.381177205667,24.637763169959,2
1,59.381090682942,24.655355774818,1
1,59.381046538766,24.664152043589,1
1,59.38100180605,24.672948289515,1
2,59.380864076689,24.699336887212,2
1,59.380816989839,24.708133038742,1
1,59.38076931446,24.716929165916,1
1,59.385707599221,24.629049328863,1
1,59.38566521519,24.637846817924,1
1,59.385622242536,24.646644285042,1
1,59.385578681262,24.655441729912,1
15,59.385489792863,24.6730365517,11
3,59.385444465743,24.681833928014,3
4,59.385398550011,24.69063128087,4
2,59.385304952723,24.708225915,2
2,59.385257271172,24.717023195669,2
1,59.385209001019,24.725820451671,1
1,59.386799891991,24.835838758249,1
2,59.39006667198,24.655527707554,2
1,59.389977772072,24.67312483704,1
2,59.389932439082,24.681923367188,2
2,59.394598227624,24.646813954859,2
1,59.394510493742,24.664413438085,1
6,59.394465743647,24.673213145543,6
3,59.394420404787,24.682012829829,3
5,59.394280855634,24.708411740621,5
10,59.394233161733,24.717211329187,10
12,59.394184879079,24.726010893066,11
1,59.395994642547,24.80085867813,1
1,59.399129198048,24.638097893523,1
9,59.399086208697,24.64689882316,9
4,59.399042630498,24.655699730524,4
4,59.398998463452,24.664500615312,4
6,59.398953707562,24.67330147722,6
1,59.39890836283,24.682102315946,1
8,59.398862429258,24.690903131187,8
4,59.398815906849,24.69970392264,4
5,59.398768795604,24.708504690003,5
2,59.398721095527,24.717305432972,2
2,59.39867280662,24.726106151244,2
4,59.403617177004,24.638181629319,4
1,59.403574182086,24.646983713735,1
1,59.403530598242,24.655785775869,1
9,59.403486425476,24.664587815418,9
19,59.403441663789,24.673389832078,11
6,59.403396313184,24.682191825548,6
7,59.403350373663,24.690993795523,7
24,59.403303845228,24.699795741701,12
6,59.403256727882,24.708597663778,6
1,59.403209021627,24.717399561453,1
3,59.403160726465,24.72620143442,3
7,59.406007017434,24.607414017611,7
9,59.405924555835,24.625019471456,9
8,59.408105148249,24.638265387094,8
14,59.408062147761,24.647068626592,11
8,59.407974379785,24.664675038412,8
14,59.4079296123,24.673478210128,11
5,59.40788425582,24.682281358644,5
12,59.407838310349,24.691084483656,11
8,59.407791775887,24.699887584862,8
5,59.407744652438,24.708690661957,5
1,59.407648638586,24.726296742607,1
7,59.407599748189,24.735099745554,7
1,59.407550268813,24.743902723179,1
9,59.412593111755,24.638349166856,9
14,59.412550105697,24.647153561739,11
