date,Õhutemperatuur (°C) keskmine,Õhutemperatuur (°C) max,Õhutemperatuur (°C) min,Suhteline õhuniiskus (%) keskmine,Suhteline õhuniiskus (%) min,Tuule kiirus (m/s) keskmine,Tuule kiirus (m/s) max,Sademed (mm),Päikesepaiste kestus (h),Maksimaalne õhutemperatuur (°C),Minimaalne õhutemperatuur (°C),I pilvekiht hulk (okta),II pilvekiht hulk (okta),III pilvekiht hulk (okta),IV pilvekiht hulk (okta),Hetkeilm (sensor),Nähtavuskaugus (km),Puhang (m/s),Keskmine kiirus tunnis (m/s),10 minuti keskmine kiirus (m/s),10 minuti keskmine suund (°)
24.04.2021,1.9,4.6,0.1,89.0,78.0,3.2,9.1,5.5,1.2,3.7,2.2,1/8,8/8,0/8,0/8,nõrk vihm,19.6,4.9,2.2,1.9,320.0
23.04.2021,3.4,7.1,2.0,87.0,79.0,2.6,9.1,1.9,1.3,3.2,3.0,8/8,0/8,0/8,0/8,nõrk hoogvihm,35.0,6.2,3.1,3.0,262.0
22.04.2021,5.7,11.4,-0.1,63.0,38.0,2.8,9.8,0.0,8.0,10.2,9.2,3/8,0/8,0/8,0/8,nähtusteta,35.0,8.6,3.8,4.2,230.0
21.04.2021,8.8,13.7,4.6,57.0,45.0,2.9,7.8,0.0,11.6,12.0,10.7,0/8,0/8,0/8,0/8,nähtusteta,35.0,4.0,1.9,1.7,344.0
20.04.2021,7.2,12.2,2.7,54.0,35.0,3.1,8.6,0.0,11.0,8.1,7.4,7/8,0/8,0/8,0/8,nähtusteta,35.0,3.9,2.4,2.6,26.0
19.04.2021,7.2,11.8,2.6,62.0,39.0,3.5,9.3,0.0,12.7,11.4,9.9,0/8,0/8,0/8,0/8,nähtusteta,35.0,7.8,4.1,3.8,49.0
18.04.2021,8.3,13.3,2.3,50.0,29.0,3.8,12.7,0.0,13.5,13.3,12.7,0/8,0/8,0/8,0/8,nähtusteta,35.0,12.7,5.6,5.6,80.0
17.04.2021,7.8,12.8,2.6,48.0,27.0,4.6,13.4,0.0,12.7,12.6,11.8,0/8,0/8,0/8,0/8,nähtusteta,35.0,12.6,6.3,6.6,65.0
16.04.2021,5.5,9.9,1.7,55.0,31.0,5.0,15.4,0.0,13.0,9.7,9.0,1/8,0/8,0/8,0/8,nähtusteta,35.0,12.7,6.5,6.7,58.0
15.04.2021,3.6,8.2,-2.0,62.0,36.0,3.3,12.4,0.0,12.8,8.2,7.6,0/8,0/8,0/8,0/8,nähtusteta,35.0,10.1,5.2,4.5,58.0
14.04.2021,2.7,7.2,-1.1,82.0,61.0,1.9,6.0,0.0,7.1,5.7,4.8,1/8,0/8,0/8,0/8,nähtusteta,35.0,5.4,2.8,2.2,274.0
13.04.2021,5.3,13.9,3.4,74.0,52.0,2.2,6.7,0.0,3.7,6.4,5.5,7/8,0/8,0/8,0/8,nähtusteta,35.0,5.8,2.8,3.1,280.0
12.04.2021,11.2,16.9,5.9,52.0,33.0,4.0,10.4,0.0,4.8,15.4,15.2,7/8,0/8,0/8,0/8,nähtusteta,35.0,5.5,2.5,2.3,182.0
11.04.2021,4.7,11.2,-0.1,69.0,32.0,3.3,7.3,0.0,10.0,7.8,7.1,7/8,0/8,0/8,0/8,nähtusteta,35.0,4.9,2.7,2.2,56.0
10.04.2021,4.1,7.3,2.2,69.0,50.0,5.5,17.3,0.5,6.7,4.9,4.5,2/8,0/8,0/8,0/8,nähtusteta,35.0,11.3,6.6,7.0,251.0
09.04.2021,1.9,3.7,-1.8,87.0,81.0,5.1,16.3,1.7,0.0,3.0,2.8,8/8,0/8,0/8,0/8,nõrk hoogvihm,35.0,14.1,7.0,7.0,211.0
08.04.2021,1.8,6.3,-2.0,79.0,49.0,2.8,11.8,0.0,11.6,3.7,2.8,0/8,0/8,0/8,0/8,nähtusteta,35.0,11.0,6.0,5.7,267.0
07.04.2021,2.8,8.0,0.1,75.0,52.0,4.2,11.8,2.2,5.1,4.6,2.2,8/8,0/8,0/8,0/8,mõõdukas hoogvihm,3.6,9.7,3.0,4.7,239.0
06.04.2021,1.8,6.5,-2.2,72.0,48.0,5.0,15.6,0.0,6.2,5.3,4.4,3/8,0/8,0/8,0/8,nähtusteta,35.0,15.1,8.0,7.2,238.0
05.04.2021,3.0,4.6,0.6,86.0,79.0,5.7,14.0,4.2,0.0,2.3,1.0,1/8,8/8,0/8,0/8,vihm,35.0,9.3,4.7,4.4,189.0
04.04.2021,4.4,11.2,-1.4,68.0,40.0,4.5,15.8,0.0,7.9,8.8,7.8,0/8,0/8,0/8,0/8,nähtusteta,35.0,13.3,6.3,5.4,209.0
03.04.2021,2.6,6.9,-0.2,80.0,58.0,2.3,7.8,0.0,2.6,4.7,3.9,8/8,0/8,0/8,0/8,nähtusteta,35.0,5.4,2.7,2.5,279.0
02.04.2021,3.2,7.4,0.5,78.0,57.0,3.1,9.8,0.0,4.9,5.0,3.3,2/8,5/8,7/8,0/8,nähtusteta,35.0,7.2,3.6,3.1,274.0
01.04.2021,3.3,7.9,-1.0,76.0,58.0,2.6,7.8,0.0,12.2,6.5,4.9,0/8,0/8,0/8,0/8,nähtusteta,35.0,6.9,3.5,3.6,265.0
31.03.2021,4.4,8.5,2.1,88.0,68.0,3.3,10.1,3.2,3.8,5.9,4.8,8/8,0/8,0/8,0/8,nähtusteta,35.0,9.6,5.1,5.1,261.0
30.03.2021,6.7,8.8,5.4,96.0,93.0,4.0,12.8,2.2,0.0,7.0,6.4,8/8,0/8,0/8,0/8,sademed,21.7,7.8,4.2,3.9,255.0
29.03.2021,4.5,6.2,2.6,84.0,66.0,5.0,11.6,1.4,0.0,5.8,5.6,8/8,0/8,0/8,0/8,nõrk vihm,18.8,10.6,5.2,5.0,181.0
28.03.2021,5.8,9.5,3.8,71.0,58.0,4.2,11.0,0.3,4.8,7.2,6.1,4/8,0/8,0/8,0/8,nähtusteta,35.0,9.8,4.9,5.1,197.0
27.03.2021,5.5,12.2,-0.1,78.0,51.0,3.2,7.8,0.0,7.4,8.2,7.4,7/8,0/8,0/8,0/8,nähtusteta,30.5,5.4,2.8,3.1,132.0
26.03.2021,4.0,10.2,0.2,85.0,62.0,2.8,8.6,0.0,10.6,8.2,5.6,1/8,0/8,0/8,0/8,nähtusteta,30.8,2.7,0.9,1.2,288.0
25.03.2021,4.5,8.2,2.2,83.0,66.0,3.5,10.9,0.0,6.9,5.0,3.3,0/8,0/8,0/8,0/8,nähtusteta,27.0,5.1,2.9,2.7,252.0
24.03.2021,3.5,8.2,1.3,80.0,60.0,3.5,11.5,0.0,5.2,3.2,3.1,8/8,0/8,0/8,0/8,nähtusteta,35.0,8.7,4.3,4.0,209.0
23.03.2021,1.2,8.9,-4.5,85.0,61.0,2.6,8.9,0.0,5.3,7.4,5.9,0/8,0/8,0/8,0/8,nähtusteta,35.0,4.8,2.4,2.0,227.0
22.03.2021,-0.3,2.3,-1.9,58.0,33.0,3.1,10.2,0.0,11.6,0.9,-0.5,0/8,0/8,0/8,0/8,nähtusteta,35.0,4.5,1.7,1.7,247.0
21.03.2021,1.7,3.6,-0.6,78.0,59.0,4.1,11.5,4.1,4.6,1.8,1.4,5/8,7/8,0/8,0/8,nähtusteta,35.0,8.6,3.8,3.2,321.0
20.03.2021,-4.4,-0.2,-9.1,78.0,64.0,4.1,13.9,2.3,0.0,-0.8,-0.9,8/8,0/8,0/8,0/8,nõrk lumi,2.2,10.3,5.3,5.0,224.0
19.03.2021,-4.5,-2.2,-8.0,66.0,49.0,3.7,10.0,0.0,4.6,-4.2,-4.9,0/8,0/8,0/8,0/8,nähtusteta,35.0,4.1,1.8,1.1,59.0
18.03.2021,-1.0,1.2,-2.7,78.0,48.0,2.6,7.4,0.6,4.6,-1.7,-2.3,1/8,0/8,0/8,0/8,nähtusteta,35.0,7.0,3.9,4.1,39.0
17.03.2021,-0.2,1.5,-1.5,94.0,88.0,1.7,5.1,0.1,0.6,0.3,0.1,8/8,0/8,0/8,0/8,nõrk vihm,20.3,2.1,0.9,0.8,335.0
16.03.2021,-0.5,3.2,-2.5,96.0,83.0,2.3,5.8,0.0,2.9,-0.3,-0.6,8/8,0/8,0/8,0/8,nähtusteta,35.0,4.4,2.5,2.3,257.0
15.03.2021,0.2,1.1,-0.8,97.0,94.0,3.8,10.2,0.4,0.1,-0.1,-0.6,8/8,0/8,0/8,0/8,nähtusteta,11.7,7.0,3.6,2.5,258.0
14.03.2021,1.1,2.5,0.3,98.0,96.0,2.7,7.0,6.0,0.0,2.4,1.2,-,-,-,-,udu,0.45,3.4,1.7,1.9,259.0
13.03.2021,2.2,4.0,0.5,92.0,85.0,3.2,9.1,2.3,0.3,1.9,1.6,8/8,0/8,0/8,0/8,nähtusteta,20.7,5.5,2.6,3.1,170.0
12.03.2021,-0.9,0.8,-3.3,83.0,61.0,4.8,13.4,0.9,0.0,0.5,0.3,8/8,0/8,0/8,0/8,nõrk hoogvihm,5.5,2.7,1.4,1.4,188.0
11.03.2021,-5.9,0.9,-12.4,67.0,55.0,4.5,12.0,0.0,2.0,-0.8,-1.2,7/8,0/8,0/8,0/8,nähtusteta,35.0,10.1,5.4,5.9,151.0
10.03.2021,-10.5,-6.1,-15.0,64.0,44.0,5.5,13.5,1.0,10.8,-9.1,-9.9,1/8,0/8,0/8,0/8,nähtusteta,35.0,8.1,4.5,4.1,97.0
09.03.2021,-4.6,1.8,-11.1,76.0,60.0,2.8,9.4,3.9,0.2,-1.3,-4.2,8/8,0/8,0/8,0/8,tugev lumi,0.55,8.1,3.1,5.2,87.0
08.03.2021,-5.2,-3.3,-9.4,68.0,40.0,3.6,11.8,0.0,6.3,-4.5,-7.5,0/8,0/8,0/8,0/8,nähtusteta,35.0,2.1,0.9,0.6,40.0
07.03.2021,-2.3,2.4,-4.3,66.0,42.0,4.9,18.1,2.7,2.5,-3.2,-4.2,8/8,0/8,0/8,0/8,nõrk hooglumi,35.0,10.0,4.2,3.8,350.0
06.03.2021,-2.8,2.2,-9.2,86.0,64.0,4.0,16.5,4.4,1.0,0.9,0.7,8/8,0/8,0/8,0/8,nõrk lumi,10.5,12.9,6.3,6.3,239.0
05.03.2021,-2.6,-1.0,-4.6,56.0,48.0,2.9,9.5,0.0,9.9,-1.8,-2.2,4/8,0/8,0/8,0/8,nähtusteta,35.0,5.7,2.5,2.7,334.0
04.03.2021,-0.1,3.0,-2.7,73.0,53.0,3.2,9.8,2.2,8.3,-0.2,-0.9,8/8,0/8,0/8,0/8,nõrk lumi,2.2,8.0,3.1,2.5,340.0
03.03.2021,2.5,6.6,-0.4,79.0,57.0,4.1,12.1,0.0,6.8,3.6,2.9,2/8,7/8,0/8,0/8,nähtusteta,35.0,10.9,6.3,6.2,251.0
02.03.2021,3.3,5.9,1.3,73.0,61.0,3.5,11.4,0.0,9.9,2.8,2.2,1/8,0/8,0/8,0/8,nähtusteta,35.0,6.8,3.2,3.3,288.0
01.03.2021,2.6,8.7,0.2,84.0,72.0,3.2,13.6,0.0,4.5,2.1,1.6,0/8,0/8,0/8,0/8,nähtusteta,35.0,6.2,3.7,4.0,237.0
