Kuupäev;Kask;Lepp;Sarapuu;Kõrrelised;Puju;Kadakas;Malts;Alternaria
"2018-11-17 00:00";;;;;;;;
"2018-11-16 00:00";;;;;;;;
"2018-11-15 00:00";;;;;;;;
"2018-11-14 00:00";;;;;;;;
"2018-11-13 00:00";;;;;;;;
"2018-11-12 00:00";;;;;;;;
"2018-11-11 00:00";;;;;;;;
"2018-11-10 00:00";;;;;;;;
"2018-11-09 00:00";;;;;;;;
"2018-11-08 00:00";;;;;;;;
"2018-11-07 00:00";;;;;;;;
"2018-11-06 00:00";;;;;;;;
"2018-11-05 00:00";;;;;;;;
"2018-11-04 00:00";;;;;;;;
"2018-11-03 00:00";;;;;;;;
"2018-11-02 00:00";;;;;;;;
"2018-11-01 00:00";;;;;;;;
"2018-10-31 00:00";0;0;0;0;0;0;0;9
"2018-10-30 00:00";0;0;0;0;1;0;0;0
"2018-10-29 00:00";0;0;0;0;0;0;0;0
"2018-10-28 01:00";0;0;0;0;0;0;0;0
"2018-10-27 01:00";2;0;0;0;0;0;0;4
"2018-10-26 01:00";0;0;0;0;0;0;0;0
"2018-10-25 01:00";0;0;0;0;0;0;0;0
"2018-10-24 01:00";0;0;0;0;0;0;0;1
"2018-10-23 01:00";0;0;0;0;0;0;0;3
"2018-10-22 01:00";0;0;0;0;0;0;0;2
"2018-10-21 01:00";0;0;0;0;0;0;0;1
"2018-10-20 01:00";0;0;0;0;0;0;0;0
"2018-10-19 01:00";0;0;0;0;0;0;0;4
"2018-10-18 01:00";0;0;0;0;0;0;0;7
"2018-10-17 01:00";0;0;0;0;0;0;0;7
"2018-10-16 01:00";0;0;0;0;0;0;0;15
"2018-10-15 01:00";0;0;0;0;0;0;0;14
"2018-10-14 01:00";0;0;0;1;0;0;0;26
"2018-10-13 01:00";0;0;0;0;0;0;0;16
"2018-10-12 01:00";0;0;0;0;0;0;0;1
"2018-10-11 01:00";0;0;0;0;0;0;0;0
"2018-10-10 01:00";3;0;0;0;0;0;0;3
"2018-10-09 01:00";5;0;0;0;0;0;0;2
"2018-10-08 01:00";1;0;0;0;0;0;0;0
"2018-10-07 01:00";0;0;0;0;0;0;0;2
"2018-10-06 01:00";1;0;0;0;0;0;0;1
"2018-10-05 01:00";0;0;0;0;0;0;0;2
"2018-10-04 01:00";0;0;0;0;0;0;0;0
"2018-10-03 01:00";0;0;0;0;0;0;0;0
"2018-10-02 01:00";0;0;0;0;0;0;0;0
"2018-10-01 01:00";0;0;0;0;0;0;0;1
"2018-09-30 01:00";1;0;0;0;0;0;0;0
"2018-09-29 01:00";0;0;0;0;0;0;0;0
"2018-09-28 01:00";0;0;0;0;0;0;0;1
"2018-09-27 01:00";0;0;0;0;0;0;0;3
"2018-09-26 01:00";0;0;0;0;0;0;0;3
"2018-09-25 01:00";0;0;0;0;0;0;0;3
"2018-09-24 01:00";0;0;0;0;0;0;0;0
"2018-09-23 01:00";0;0;0;0;0;0;0;0
"2018-09-22 01:00";0;0;0;2;0;0;0;36
"2018-09-21 01:00";0;0;0;0;0;0;0;47
"2018-09-20 01:00";1;0;0;0;0;1;0;22
"2018-09-19 01:00";0;0;0;4;0;0;0;38
"2018-09-18 01:00";3;0;0;0;0;0;0;8
"2018-09-17 01:00";0;0;0;0;0;0;0;1
"2018-09-16 01:00";0;0;0;0;0;0;0;5
"2018-09-15 01:00";0;0;0;0;0;0;0;1
"2018-09-14 01:00";0;0;0;0;0;0;0;0
"2018-09-13 01:00";0;0;0;1;0;0;0;8
"2018-09-12 01:00";0;1;0;4;1;0;0;31
"2018-09-11 01:00";0;3;0;1;0;0;0;29
"2018-09-10 01:00";0;0;0;1;1;0;0;46
"2018-09-09 01:00";0;0;0;3;8;0;4;102
"2018-09-08 01:00";0;0;0;10;30;0;10;247
"2018-09-07 01:00";0;0;0;2;16;0;8;131
"2018-09-06 01:00";2;0;0;0;2;0;0;21
"2018-09-05 01:00";0;0;0;0;0;0;2;44
"2018-09-04 01:00";0;0;0;0;0;0;0;36
"2018-09-03 01:00";1;0;0;0;0;0;0;18
"2018-09-02 01:00";0;0;0;0;0;0;0;4
"2018-09-01 01:00";0;0;0;0;0;0;2;47
"2018-08-31 01:00";0;0;0;0;0;0;0;36
"2018-08-30 01:00";0;0;0;0;0;0;0;4
"2018-08-29 01:00";0;0;0;0;0;0;0;24
"2018-08-28 01:00";0;0;0;0;0;0;0;54
"2018-08-27 01:00";0;0;0;0;1;0;0;8
"2018-08-26 01:00";0;0;0;0;4;0;0;41
"2018-08-25 01:00";0;0;0;0;0;0;0;10
"2018-08-24 01:00";0;0;0;2;4;0;0;126
"2018-08-23 01:00";1;0;0;2;2;0;0;65
"2018-08-22 01:00";0;0;0;0;0;0;0;27
"2018-08-21 01:00";0;0;0;11;0;0;0;31
"2018-08-20 01:00";0;0;0;0;3;0;0;28
"2018-08-19 01:00";0;0;0;4;4;0;0;30
"2018-08-18 01:00";0;0;0;4;5;0;1;217
"2018-08-17 01:00";0;0;0;2;2;0;1;206
"2018-08-16 01:00";0;0;0;1;6;0;0;35
"2018-08-15 01:00";0;0;0;0;5;0;0;25
"2018-08-14 01:00";0;0;0;2;7;0;1;14
"2018-08-13 01:00";0;0;0;0;0;0;0;5
"2018-08-12 01:00";0;0;0;0;3;0;0;13
"2018-08-11 01:00";1;0;0;1;3;0;0;33
"2018-08-10 01:00";0;0;0;1;30;0;1;193
"2018-08-09 01:00";0;0;0;3;17;0;1;118
"2018-08-08 01:00";0;0;0;1;6;0;0;28
"2018-08-07 01:00";0;0;0;1;1;0;0;9
"2018-08-06 01:00";0;0;0;3;1;0;0;13
"2018-08-05 01:00";0;0;0;6;0;0;0;16
"2018-08-04 01:00";0;0;0;0;8;0;0;5
"2018-08-03 01:00";0;0;0;5;14;0;0;113
"2018-08-02 01:00";0;0;0;0;6;0;1;53
"2018-08-01 01:00";0;0;0;0;11;0;0;50
"2018-07-31 01:00";0;0;0;1;17;0;3;71
"2018-07-30 01:00";0;0;0;1;20;0;0;44
"2018-07-29 01:00";0;0;0;1;14;0;6;88
"2018-07-28 01:00";0;0;0;1;11;0;1;53
"2018-07-27 01:00";0;0;0;3;8;0;0;13
"2018-07-26 01:00";0;0;0;3;1;0;3;42
"2018-07-25 01:00";0;0;0;13;3;0;3;74
"2018-07-24 01:00";0;0;0;7;22;0;0;46
"2018-07-23 01:00";0;0;0;8;4;0;0;50
"2018-07-22 01:00";1;0;0;11;8;0;0;41
"2018-07-21 01:00";1;0;0;3;3;0;0;14
"2018-07-20 01:00";0;0;0;0;0;0;0;2
"2018-07-19 01:00";0;0;0;8;0;0;0;5
"2018-07-18 01:00";0;0;0;5;0;1;0;3
"2018-07-17 01:00";0;0;0;5;0;0;0;9
"2018-07-16 01:00";0;0;0;12;0;0;2;7
"2018-07-15 01:00";0;0;0;8;0;0;0;4
"2018-07-14 01:00";1;0;0;8;0;0;0;5
"2018-07-13 01:00";1;0;0;6;0;0;0;9
"2018-07-12 01:00";1;0;0;3;0;0;0;8
"2018-07-11 01:00";0;0;0;6;0;0;2;8
"2018-07-10 01:00";0;0;0;4;0;1;0;4
"2018-07-09 01:00";0;0;0;14;0;1;0;11
"2018-07-08 01:00";0;0;0;5;0;0;0;11
"2018-07-07 01:00";0;0;0;17;0;0;1;4
"2018-07-06 01:00";1;0;0;4;0;0;0;11
"2018-07-05 01:00";0;0;0;4;0;1;2;9
"2018-07-04 01:00";1;0;0;2;0;0;0;16
"2018-07-03 01:00";0;0;0;0;0;0;0;4
"2018-07-02 01:00";0;0;0;1;0;0;0;1
"2018-07-01 01:00";9;0;0;10;0;0;0;2
"2018-06-30 01:00";1;0;0;0;0;1;0;5
"2018-06-29 01:00";0;0;0;4;1;0;0;7
"2018-06-28 01:00";0;0;0;11;0;0;0;12
"2018-06-27 01:00";3;0;0;11;0;0;2;15
"2018-06-26 01:00";0;0;0;7;0;0;0;7
"2018-06-25 01:00";0;0;0;4;0;0;0;3
"2018-06-24 01:00";0;0;0;5;0;0;0;5
"2018-06-23 01:00";3;0;0;0;0;0;0;0
"2018-06-22 01:00";8;0;0;0;0;0;0;0
