Kuupäev;Kask;Lepp;Sarapuu;Kõrrelised;Puju;Kadakas;Malts;Alternaria
"2020-11-17 00:00";;;;;;;;
"2020-11-16 00:00";;;;;;;;
"2020-11-15 00:00";;;;;;;;
"2020-11-14 00:00";;;;;;;;
"2020-11-13 00:00";;;;;;;;
"2020-11-12 00:00";;;;;;;;
"2020-11-11 00:00";;;;;;;;
"2020-11-10 00:00";;;;;;;;
"2020-11-09 00:00";;;;;;;;
"2020-11-08 00:00";;;;;;;;
"2020-11-07 00:00";;;;;;;;
"2020-11-06 00:00";;;;;;;;
"2020-11-05 00:00";;;;;;;;
"2020-11-04 00:00";;;;;;;;
"2020-11-03 00:00";;;;;;;;
"2020-11-02 00:00";;;;;;;;
"2020-11-01 00:00";0;0;0;0;0;0;0;1
"2020-10-31 00:00";0;0;0;0;0;0;0;0
"2020-10-30 00:00";0;0;0;0;0;0;0;0
"2020-10-29 00:00";0;0;0;0;0;0;0;1
"2020-10-28 00:00";0;0;0;0;0;0;0;0
"2020-10-27 00:00";0;0;0;0;0;0;0;3
"2020-10-26 00:00";0;0;0;0;0;0;0;1
"2020-10-25 01:00";0;0;0;0;0;0;0;0
"2020-10-24 01:00";1;1;0;0;0;0;0;0
"2020-10-23 01:00";0;0;0;0;0;0;0;1
"2020-10-22 01:00";0;0;0;0;0;0;0;3
"2020-10-21 01:00";0;0;0;0;0;0;0;0
"2020-10-20 01:00";0;0;0;0;0;0;0;0
"2020-10-19 01:00";0;0;0;0;0;0;0;3
"2020-10-18 01:00";0;0;0;0;0;0;0;1
"2020-10-17 01:00";0;0;0;0;0;0;0;11
"2020-10-16 01:00";0;0;0;0;0;0;0;3
"2020-10-15 01:00";0;0;0;0;0;0;0;0
"2020-10-14 01:00";0;0;0;0;0;0;0;5
"2020-10-13 01:00";0;0;0;0;0;0;0;0
"2020-10-12 01:00";0;0;0;0;0;0;0;3
"2020-10-11 01:00";0;0;0;0;0;0;0;2
"2020-10-10 01:00";0;0;0;0;0;0;0;5
"2020-10-09 01:00";0;0;0;0;0;0;0;5
"2020-10-08 01:00";0;0;0;0;0;0;0;1
"2020-10-07 01:00";2;0;0;0;0;0;0;11
"2020-10-06 01:00";0;0;0;0;0;0;0;55
"2020-10-05 01:00";2;0;0;2;0;0;4;25
"2020-10-04 01:00";0;0;0;0;0;0;0;36
"2020-10-03 01:00";0;0;0;1;1;0;0;29
"2020-10-02 01:00";0;0;0;1;4;0;1;46
"2020-10-01 01:00";0;0;0;2;4;0;0;23
"2020-09-30 01:00";0;0;0;0;0;0;0;5
"2020-09-29 01:00";0;0;0;0;0;0;0;4
"2020-09-28 01:00";0;0;0;0;0;0;0;17
"2020-09-27 01:00";0;0;0;1;1;0;1;68
"2020-09-26 01:00";0;0;0;3;1;0;0;63
"2020-09-25 01:00";0;0;0;1;0;0;0;49
"2020-09-24 01:00";0;0;0;0;1;0;0;39
