Kuupäev;Kask;Lepp;Sarapuu;Kõrrelised;Puju;Kadakas;Malts;Alternaria
"2021-05-30 01:00";;;;;;;;
"2021-05-29 01:00";;;;;;;;
"2021-05-28 01:00";;;;;;;;
"2021-05-27 01:00";7;0;0;0;0;2;0;3
"2021-05-26 01:00";14;0;0;0;0;1;0;6
"2021-05-25 01:00";13;1;0;0;0;3;0;1
"2021-05-24 01:00";21;1;0;1;0;6;0;4
"2021-05-23 01:00";10;0;0;0;0;1;0;5
"2021-05-22 01:00";28;0;0;0;0;0;0;2
"2021-05-21 01:00";134;0;0;1;0;1;0;2
"2021-05-20 01:00";230;1;0;0;0;0;0;1
"2021-05-19 01:00";47;2;0;0;0;0;0;2
"2021-05-18 01:00";11;1;0;0;0;0;0;1
"2021-05-17 01:00";374;3;0;0;0;2;0;5
"2021-05-16 01:00";53;0;0;0;0;0;0;0
"2021-05-15 01:00";194;5;0;0;0;3;0;4
"2021-05-14 01:00";1060;4;0;0;0;0;0;3
"2021-05-13 01:00";4067;5;0;0;0;0;0;3
"2021-05-12 01:00";4408;3;0;0;0;0;0;3
"2021-05-11 01:00";4956;7;0;0;0;3;0;1
"2021-05-10 01:00";2312;3;0;0;0;1;0;4
"2021-05-09 01:00";185;1;0;0;0;0;0;0
"2021-05-08 01:00";26;0;0;0;0;0;0;3
"2021-05-07 01:00";0;0;0;0;0;0;0;0
"2021-05-06 01:00";11;0;0;0;0;0;0;1
"2021-05-05 01:00";2;3;0;0;0;1;0;0
"2021-05-04 01:00";7;5;0;0;0;0;0;0
"2021-05-03 01:00";23;7;0;0;0;0;0;0
"2021-05-02 01:00";2;3;0;0;0;1;0;2
"2021-05-01 01:00";3;1;0;0;0;1;0;0
"2021-04-30 01:00";5;3;0;0;0;1;0;1
"2021-04-29 01:00";1;1;0;0;0;0;0;0
"2021-04-28 01:00";0;3;0;0;0;0;0;0
"2021-04-27 01:00";1;1;0;0;0;0;0;0
"2021-04-26 01:00";0;2;0;0;0;0;0;0
"2021-04-25 01:00";1;3;0;0;0;0;0;0
"2021-04-24 01:00";0;3;0;0;0;0;0;2
"2021-04-23 01:00";2;8;0;0;0;0;0;0
"2021-04-22 01:00";19;19;3;0;0;0;0;1
"2021-04-21 01:00";9;20;0;0;0;1;0;0
"2021-04-20 01:00";;;;;;;;
"2021-04-19 01:00";0;28;0;0;0;5;0;0
"2021-04-18 01:00";;;;;;;;
"2021-04-17 01:00";;;;;;;;
"2021-04-16 01:00";;;;;;;;
"2021-04-15 01:00";0;59;2;0;0;0;0;2
"2021-04-14 01:00";0;8;0;0;0;4;0;0
"2021-04-13 01:00";0;8;0;0;0;2;0;0
"2021-04-12 01:00";0;69;17;0;0;11;0;2
"2021-04-11 01:00";0;187;11;0;0;5;0;1
"2021-04-10 01:00";0;41;2;0;0;0;0;0
"2021-04-09 01:00";0;14;3;0;0;1;0;0
"2021-04-08 01:00";0;70;2;0;0;0;0;0
"2021-04-07 01:00";0;25;1;0;0;0;0;1
"2021-04-06 01:00";0;95;6;0;0;0;0;0
"2021-04-05 01:00";0;45;5;0;0;0;0;3
"2021-04-04 01:00";0;956;67;0;0;3;0;1
"2021-04-03 01:00";0;327;5;0;0;0;0;1
"2021-04-02 01:00";0;246;11;0;0;0;0;0
"2021-04-01 01:00";0;877;18;0;0;0;0;0
"2021-03-31 01:00";0;416;7;0;0;0;0;0
"2021-03-30 01:00";0;25;2;0;0;0;0;4
"2021-03-29 01:00";0;145;19;0;0;0;0;1
"2021-03-28 00:00";0;1160;141;0;0;2;0;0
"2021-03-27 00:00";0;1114;45;0;0;2;0;0
"2021-03-26 00:00";0;325;23;0;0;0;0;0
"2021-03-25 00:00";0;177;1;0;0;0;0;0
"2021-03-24 00:00";0;88;11;0;0;0;0;0
"2021-03-23 00:00";0;24;1;0;0;0;0;0
"2021-03-22 00:00";0;3;0;0;0;0;0;0
"2021-03-21 00:00";0;5;1;0;0;0;0;1
"2021-03-20 00:00";0;13;0;0;0;0;0;0
"2021-03-19 00:00";0;3;1;0;0;0;0;0
"2021-03-18 00:00";0;1;0;0;0;0;0;0
"2021-03-17 00:00";0;0;0;0;0;0;0;0
"2021-03-16 00:00";0;0;0;0;0;0;0;0
"2021-03-15 00:00";0;0;0;0;0;0;0;0
"2021-03-14 00:00";0;0;0;0;0;0;0;1
"2021-03-13 00:00";0;4;0;0;0;1;0;0
"2021-03-12 00:00";0;1;1;0;0;0;0;0
"2021-03-11 00:00";0;13;1;0;0;0;0;1
"2021-03-10 00:00";0;1;0;0;0;0;0;0
"2021-03-09 00:00";0;2;0;0;0;0;0;0
"2021-03-08 00:00";0;0;0;0;0;0;0;1
"2021-03-07 00:00";0;2;0;0;0;0;0;0
"2021-03-06 00:00";0;0;1;0;0;0;0;0
"2021-03-05 00:00";0;2;1;0;0;0;0;0
"2021-03-04 00:00";0;0;1;0;0;0;0;0
"2021-03-03 00:00";0;0;0;0;0;0;0;0
"2021-03-02 00:00";0;0;2;0;0;0;0;0
"2021-03-01 00:00";0;0;0;0;0;0;0;0
